experiment_id,model_family,input_type,split_protocol,leakage_risk,mean_val_rmse,mean_test_rmse,model_val_rmse,model_test_rmse,test_rmse_delta_vs_mean,test_rmse_improvement_pct_vs_mean,model_val_spearman,model_test_spearman,model_val_r2,model_test_r2,best_epoch,interpretation,source
single_cnn_date_safe,MobileNetV2 supervised CNN,single front image,date-safe,low,39.111506794222066,41.605886617128164,44.21522569439036,48.60691846262798,7.001031845499817,-16.827022363267357,0.13616096074655007,0.026691551863153022,-0.4306207293096156,-0.38033941629777357,7,Fails strict unseen-date generalization.,manual_fallback_from_logs
single_cnn_random,MobileNetV2 supervised CNN,single front image,random observation split,medium/high,47.92093264248891,48.71255661208352,43.30131869735103,43.99270009413047,-4.719856517953048,9.68919893804599,0.43082114560793733,0.4180551762124113,0.1424687168924087,0.14198790864731636,3,"Learns within-distribution visual signal, but random split is not final evidence.",experiments/traqid_pretraining_v1/reports/supervised_cnn_pm25_random_front/metrics_mobilenetv2_front.json
t7_gru_date_safe,MobileNetV2 embeddings + GRU,T=7 front image embeddings,date-safe,low,39.17644352288247,41.62366640491317,44.11733752588119,46.81823935049985,5.194572945586678,-12.479854357504463,0.08899985888550685,-0.03562987726007946,-0.42264979404425107,-0.2788334752772301,23,Temporal model also fails strict unseen-date generalization.,experiments/traqid_pretraining_v1/reports/t7_embedding_gru/metrics_t7_embedding_gru.json
t7_gru_random,MobileNetV2 embeddings + GRU,T=7 front image embeddings,random sequence split,very high,47.28811772837429,48.13320401452184,22.372659832261167,22.718788005912867,-25.41441600860897,52.80017511599979,0.8867187996124036,0.8927675365292096,0.7647192826140125,0.7653739628617173,13,"Very strong, but likely inflated by overlapping-window leakage.",experiments/traqid_pretraining_v1/reports/t7_embedding_gru_random_debug/metrics_t7_embedding_gru.json
t7_gru_purged_block,MobileNetV2 embeddings + GRU,T=7 front image embeddings,purged within-date block split,low/medium,63.94315538973628,44.776405310144,66.1442152074536,44.53816353309236,-0.23824177705164118,0.5320699046773816,0.017109241559537292,0.18933634678219866,-0.2823371524038172,-0.04863695082714781,17,Fairer test; weak positive ranking signal but RMSE nearly equals mean baseline.,experiments/traqid_pretraining_v1/reports/t7_embedding_gru_purged_block/metrics_t7_embedding_gru.json
t7_gru_supervised_front_purged_block,TRAQID-supervised MobileNetV2 embeddings + GRU,T=7 front PM-aware embeddings,purged within-date block split,low/medium,63.94315538973628,44.776405310144,62.61416736330929,41.647467728152776,-3.1289375819912237,6.987915980120829,0.1813350934445621,0.36123066410240273,-0.14911556836976847,0.08306669730587346,17,Best fair result so far; PM-aware visual pretraining improves purged-block generalization.,experiments/traqid_pretraining_v1/reports/t7_supervised_front_gru_purged_block/metrics_t7_embedding_gru.json
