epoch,train_loss,val_loss
1,0.7259479217204946,0.5003968518972397
2,0.44265531422076715,0.32188049286603926
3,0.30653039592420256,0.2608412179350853
4,0.2355397147761638,0.21996471524238587
5,0.19389649185717317,0.2281962290406227
6,0.17260179431720674,0.16426340267062187
7,0.15209715184179717,0.12672580040991308
8,0.1344917052863133,0.12731050081551076
9,0.12065464782104054,0.14241034284234047
10,0.1149656549754286,0.11417373575270176
11,0.10349959132422829,0.1134118689596653
12,0.09664277609951083,0.11809344798326492
13,0.09087302791145581,0.09413939982652664
14,0.08446335879421066,0.12402197271585465
15,0.08065011381260498,0.08820659786462784
16,0.07371270194544388,0.08501952193677426
17,0.0699503554208961,0.0756449281796813
18,0.06802572781226661,0.07023128777742386
19,0.06526457572309793,0.07635069295763969
20,0.06302456854589204,0.0628276851773262
21,0.05965709580312559,0.06981967072933912
22,0.057986679918037284,0.061042204611003396
23,0.054308598578081534,0.06659035973250865
24,0.053492863534196106,0.05928813703358173
25,0.05211655739629016,0.06096061859279871
26,0.05106041100626489,0.06558402046561242
27,0.04950250300838754,0.05676189761608839
28,0.04765096024442267,0.05406625516712665
29,0.04776067823803467,0.06311155028641224
30,0.044828930909189234,0.052127167657017706
31,0.04426455272644653,0.05704007774591446
32,0.043445860828822576,0.051945466175675394
33,0.041520011891008686,0.05675654366612434
34,0.04159192734335421,0.04865196987986565
35,0.04067265995294382,0.050543724372982976
36,0.039935741731534996,0.05126690022647381
37,0.0392481967964779,0.052621038444340226
38,0.03792997083031036,0.046480275727808475
39,0.037312970282806106,0.04536315992474556
40,0.03714700823142967,0.053764380142092706
41,0.03665917753093866,0.04629784755408764
42,0.034198834672701864,0.05005152955651283
43,0.03421383186542946,0.048144484497606756
44,0.0338542388074179,0.045872387550771235
45,0.033340030247773385,0.04300557311624289
46,0.03271776002703412,0.04696399776265025
47,0.03175994370448611,0.047474424950778485
48,0.03151940643892693,0.04575792424380779
49,0.03193189988946114,0.04298136461526156
50,0.02994822130239052,0.045976592525839806
51,0.03016997487432333,0.04324127774685621
52,0.030263623222708702,0.04418854545801878
53,0.030709028773852245,0.04437578368932009
54,0.029250074141780606,0.04197894299402833
55,0.028490273199659563,0.044423809610307216
56,0.029025141393285336,0.04398948777467013
57,0.02826720285936927,0.04450800690799952
58,0.027838669684402934,0.042337750010192396
59,0.02735660980741885,0.0413319193944335
60,0.027414991286691844,0.04283984683454037
