model,R2,RMSE,MAE
extra_trees_conservative_plus_basepred,0.9643623835447594,8.866611712758012,4.233748389200372
extra_trees_default_plus_basepred,0.9638887304687429,8.925339483326455,4.18265744326702
extra_trees_smooth_plus_basepred,0.9632976193931143,8.998093108941145,4.394973607289026
random_forest_smooth_plus_basepred,0.9613465702626345,9.234159739685923,4.53417016577617
oof_base_ensemble_only,0.9596559172959577,9.433943875394203,5.1134946717395255
ridge,0.9589979630078431,9.510559830555682,5.276759155995233
