pm25_bin,rows,base_RMSE,final_RMSE,base_MAE,final_MAE
0-35,910,5.014332022131817,4.100353306347076,3.1552899431622152,2.0759806636246596
35-60,2339,5.2229723181451,4.455896882308459,3.287258377900464,2.5295837391922067
60-90,1078,7.375160078631998,6.517290238498083,5.111339861568318,4.293123628513548
90-150,653,13.127013241513662,12.218299027917762,8.502878435485377,7.632294610531332
150+,332,25.442910590281144,24.459048461195128,16.687555394296044,14.922427500411374
