fold,train_rows,val_rows,best_epoch,best_val_loss,oof_R2,oof_RMSE,oof_MAE
1,14164,7082,53,0.060334378291290625,0.9377756167446203,11.512773947481076,6.160506521050455
2,14164,7082,55,0.06600087518627579,0.9357834142371092,11.946005637838299,6.329543615695178
3,14164,7082,60,0.0722577486455709,0.9282527776331849,12.54298766116574,6.63663287070738
