epoch,train_loss,val_loss,fold
1,0.8326751534063537,0.5959724296589155,1
2,0.5277329423204735,0.455835261994654,1
3,0.3859303848364869,0.31871639608262897,1
4,0.2850569403050719,0.2537771755376378,1
5,0.2429812211241271,0.23886826996867722,1
6,0.19924336289231842,0.27703281498707094,1
7,0.19407398152995753,0.17170468227820354,1
8,0.1530119809951331,0.17359097218057057,1
9,0.13391243268710537,0.16024131797723942,1
10,0.12274269460960552,0.1461918098298279,1
11,0.11499914411153342,0.1396466414737809,1
12,0.10330596579624726,0.13483788254293236,1
13,0.09333908905249995,0.12475182434862798,1
14,0.08410902871741904,0.13652422765756514,1
15,0.0831302901948089,0.11267190329260654,1
16,0.07503095929519282,0.09905622429675884,1
17,0.07401144287238519,0.10589575837995555,1
18,0.06929813652626567,0.11016131658946071,1
19,0.0657864728153826,0.09328703253387331,1
20,0.05974419190137236,0.0944146426512046,1
21,0.058783585851726765,0.09934182017034776,1
22,0.05628248872990544,0.09934317058808095,1
23,0.05399240001297749,0.08784102071244437,1
24,0.04924459033855447,0.10663015553140426,1
25,0.05221798206335521,0.08489242152453542,1
26,0.05012751552737779,0.08371259716784095,1
27,0.04759526834193919,0.08017618568228171,1
28,0.04755663131741253,0.08710149897111429,1
29,0.04398050921893603,0.08435532460744316,1
30,0.04300887990944289,0.07624253496393427,1
31,0.0408716220492581,0.0774422793707869,1
32,0.03826474399213587,0.07643260475382344,1
33,0.04074460872541274,0.08096546090736582,1
34,0.03737739646840874,0.07409759364216714,1
35,0.03718224917916027,0.08159871778643883,1
36,0.03620479157748255,0.0709879744026038,1
37,0.035358504035619194,0.07612413161241256,1
38,0.035627854958612905,0.0798294307613695,1
39,0.03379851476465528,0.06687720566316768,1
40,0.03258172792659418,0.06802631981737979,1
41,0.03299775738520799,0.08289854517122647,1
42,0.03283569754126507,0.06466750847595232,1
43,0.03271916403795953,0.07548920937755087,1
44,0.03036690654803638,0.06497929681528795,1
45,0.029651592842194142,0.06819707435463462,1
46,0.03022166509349067,0.0670684388511487,1
47,0.029283218996112678,0.07719098422508519,1
48,0.029101843500996497,0.06424743636838488,1
49,0.02955946451271171,0.06471666596360034,1
50,0.02793649414571019,0.06593128981756734,1
51,0.027233666803285077,0.07184822160985556,1
52,0.027139430110518996,0.06422343126892506,1
53,0.026078732839475077,0.060334378291290625,1
54,0.025261490320501564,0.06497796120642273,1
55,0.02489598938641516,0.06816229689866304,1
56,0.02631968062639505,0.06142572498133591,1
57,0.02472841552131482,0.07080709430817012,1
58,0.024503621721623448,0.06524949565294895,1
59,0.02514387454904683,0.06274501782179147,1
60,0.024000591174741317,0.06638056315011806,1
1,0.8284614749319918,0.6511245591414941,2
2,0.5693791739575498,0.6052595342064763,2
3,0.4167795552460997,0.36088521483245195,2
4,0.3250807165965304,0.4636380113996901,2
5,0.25501431917419304,0.2617081276871063,2
6,0.21880719790587555,0.23141484566636988,2
7,0.1806711035671535,0.1642954668348974,2
8,0.1512573202988049,0.2588279746002979,2
9,0.14014411165571963,0.14963306711466462,2
10,0.12307964735202961,0.17895909153797604,2
11,0.11724317048651141,0.14487189208870535,2
12,0.1126563650564299,0.13047418833987132,2
13,0.09291326497924758,0.13805627020763922,2
14,0.0908292788794046,0.14631555773116448,2
15,0.08252558274916164,0.11316841565542393,2
16,0.07838756807551191,0.1162323920173688,2
