experiment,feature_set,model,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_top15_source_et_leaf2_log1p,top15_source,et_leaf2,15,281,5,7.06605945278794,12.922783580646772,0.38106518994065697,0.6160043203211981,-2.1905696225447318,direct,True,,,,
direct_tabular_plus_top50_source_ridge_log1p,tabular_plus_top50_source,ridge,62,281,5,7.222763539830632,12.926039171071837,0.38075329861408247,0.6334151802615495,-1.737164387593661,direct,True,,,,
direct_top30_source_et_leaf2_log1p,top30_source,et_leaf2,30,281,5,7.015866162460143,12.94124747951065,0.3792952750124814,0.6293572936006092,-2.207090332624122,direct,True,,,,
direct_top50_source_et_leaf1_log1p,top50_source,et_leaf1,50,281,5,6.927612595752832,12.9562856287693,0.37785187882282056,0.650591387519055,-2.115972387003966,direct,True,,,,
direct_tabular_plus_top30_source_hgb_slow_raw,tabular_plus_top30_source,hgb_slow,42,281,5,8.131446516547202,12.960689831987368,0.3774288359000997,0.6125485402762603,0.18860675164603688,direct,False,,,,
direct_tabular_plus_top20_source_ridge_log1p,tabular_plus_top20_source,ridge,32,281,5,7.371403788010888,12.975043498266682,0.37604910578590733,0.6071401529491935,-1.8710696369520616,direct,True,,,,
direct_tabular_plus_top30_source_ridge_log1p,tabular_plus_top30_source,ridge,42,281,5,7.3468218444114815,13.024172652204896,0.3713150616096095,0.6085896007528474,-1.872876351046647,direct,True,,,,
direct_top30_source_hgb_medium_log1p,top30_source,hgb_medium,30,281,5,7.283217328025118,13.047083852353571,0.3691012402757784,0.5433178588740493,-1.9567690704635405,direct,True,,,,
direct_top20_source_hgb_medium_log1p,top20_source,hgb_medium,20,281,5,7.414911499752555,13.057590266264825,0.3680847445687859,0.5553798106430738,-1.856135395381262,direct,True,,,,
direct_top20_source_hgb_slow_log1p,top20_source,hgb_slow,20,281,5,7.392192518000857,13.096571502303657,0.3643061597274594,0.5651512787899202,-1.8712526639521831,direct,True,,,,
