experiment,feature_set,model,T,cv,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_T7_random2fold_tabular_plus_raw_source_rf_leaf2_log1p,tabular_plus_raw_source,rf_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.258437096927035,13.509876113066568,0.33334197252971554,0.6386936326130233,-2.368977198432306,direct_temporal,True,,,,
residual_T7_random2fold_raw_source_base-et_leaf1_res-rf_leaf2_raw,raw_source,base_et_leaf1_res_rf_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.518424955515428,13.534844909131325,0.3308754761177094,0.6898214131156055,0.34955239570644053,residual_temporal,False,et_leaf1,rf_leaf2,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf1_res-et_leaf3_raw,raw_source,base_et_leaf1_res_et_leaf3,7,random_2fold_sequence_cv,1043,275,2,7.518424955515428,13.534844909131325,0.3308754761177094,0.6898214131156055,0.34955239570644053,residual_temporal,False,et_leaf1,et_leaf3,84.0,959.0
direct_T7_random2fold_tabular_et_leaf1_raw,tabular,et_leaf1,7,random_2fold_sequence_cv,84,275,2,7.518424955515435,13.534844909131325,0.3308754761177094,0.6898214131156055,0.3495523957064527,direct_temporal,False,,,,
residual_T7_random2fold_top30_source_base-et_leaf1_res-rf_leaf2_raw,top30_source,base_et_leaf1_res_rf_leaf2,7,random_2fold_sequence_cv,294,275,2,7.518424955515428,13.534844909131325,0.3308754761177094,0.6898214131156055,0.3495523957064406,residual_temporal,False,et_leaf1,rf_leaf2,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf1_res-et_leaf3_raw,top30_source,base_et_leaf1_res_et_leaf3,7,random_2fold_sequence_cv,294,275,2,7.518424955515428,13.534844909131326,0.3308754761177093,0.6898214131156055,0.3495523957064403,residual_temporal,False,et_leaf1,et_leaf3,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf1_res-et_leaf2_raw,top30_source,base_et_leaf1_res_et_leaf2,7,random_2fold_sequence_cv,294,275,2,7.518424955515428,13.534844909131326,0.3308754761177093,0.6898214131156055,0.34955239570644037,residual_temporal,False,et_leaf1,et_leaf2,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf1_res-et_leaf1_raw,top30_source,base_et_leaf1_res_et_leaf1,7,random_2fold_sequence_cv,294,275,2,7.518424955515428,13.534844909131326,0.3308754761177093,0.6898214131156055,0.3495523957064404,residual_temporal,False,et_leaf1,et_leaf1,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf1_res-et_leaf2_raw,raw_source,base_et_leaf1_res_et_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.518424955515428,13.534844909131326,0.3308754761177093,0.6898214131156055,0.3495523957064406,residual_temporal,False,et_leaf1,et_leaf2,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf1_res-et_leaf1_raw,raw_source,base_et_leaf1_res_et_leaf1,7,random_2fold_sequence_cv,1043,275,2,7.51842495551543,13.534844909131326,0.3308754761177093,0.6898214131156055,0.34955239570644064,residual_temporal,False,et_leaf1,et_leaf1,84.0,959.0
residual_T7_random2fold_top30_source_base-et_leaf1_res-hgb_slow_raw,top30_source,base_et_leaf1_res_hgb_slow,7,random_2fold_sequence_cv,294,275,2,7.518424955515415,13.53484490913133,0.33087547611770896,0.6898214131156055,0.34955239570643004,residual_temporal,False,et_leaf1,hgb_slow,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf1_res-hgb_slow_raw,raw_source,base_et_leaf1_res_hgb_slow,7,random_2fold_sequence_cv,1043,275,2,7.518424955515432,13.534844909131339,0.33087547611770807,0.6898214131156055,0.3495523957064393,residual_temporal,False,et_leaf1,hgb_slow,84.0,959.0
direct_T7_random2fold_raw_source_rf_leaf2_raw,raw_source,rf_leaf2,7,random_2fold_sequence_cv,959,275,2,8.672790871475843,13.566992903883632,0.327693088978558,0.4526446684881425,0.7845419247292551,direct_temporal,False,,,,
direct_T7_random2fold_top30_source_et_leaf2_log1p,top30_source,et_leaf2,7,random_2fold_sequence_cv,210,275,2,7.335583688388904,13.58904529522629,0.32550571781860616,0.6458582298642919,-2.0121272803527335,direct_temporal,True,,,,
direct_T7_random2fold_top30_source_et_leaf3_log1p,top30_source,et_leaf3,7,random_2fold_sequence_cv,210,275,2,7.432775353877946,13.645860541406082,0.3198538610038647,0.6348300506483603,-2.0733018797010168,direct_temporal,True,,,,
direct_T7_random2fold_tabular_plus_top30_source_hgb_slow_log1p,tabular_plus_top30_source,hgb_slow,7,random_2fold_sequence_cv,294,275,2,7.516031217388253,13.651662105915582,0.3192754071210383,0.6157733475664292,-1.4952529190736343,direct_temporal,True,,,,
direct_T7_random2fold_raw_source_hgb_slow_log1p,raw_source,hgb_slow,7,random_2fold_sequence_cv,959,275,2,7.532447076955761,13.659563007955992,0.3184872401359109,0.5333681475281566,-1.5952047789292991,direct_temporal,True,,,,
direct_T7_random2fold_raw_source_et_leaf3_raw,raw_source,et_leaf3,7,random_2fold_sequence_cv,959,275,2,8.10194142267857,13.672571815402161,0.31718853242331546,0.5957998056627171,0.40749976541887095,direct_temporal,False,,,,
direct_T7_random2fold_raw_source_rf_leaf2_log1p,raw_source,rf_leaf2,7,random_2fold_sequence_cv,959,275,2,7.500708125177195,13.68223847443407,0.3162226806370647,0.5797658994324382,-2.2293714818149235,direct_temporal,True,,,,
direct_T7_random2fold_tabular_hgb_slow_log1p,tabular,hgb_slow,7,random_2fold_sequence_cv,84,275,2,7.607651799223847,13.682564458815788,0.3161900977548926,0.5798015060154064,-1.7663174270037856,direct_temporal,True,,,,
direct_T7_random2fold_tabular_ridge_raw,tabular,ridge,7,random_2fold_sequence_cv,84,275,2,9.390044695373247,13.685858412678503,0.3158608160032542,0.5174259253916506,0.8594557221436797,direct_temporal,False,,,,
direct_T7_random2fold_tabular_rf_leaf2_raw,tabular,rf_leaf2,7,random_2fold_sequence_cv,84,275,2,8.020888155848215,13.712992307965502,0.31314534686838535,0.6004985430310724,-0.1481058106013334,direct_temporal,False,,,,
direct_T7_random2fold_tabular_rf_leaf2_log1p,tabular,rf_leaf2,7,random_2fold_sequence_cv,84,275,2,7.2628547297433945,13.75452662429793,0.3089783144543302,0.6318905975015147,-2.5003087377768694,direct_temporal,True,,,,
direct_T7_random2fold_tabular_plus_top30_source_rf_leaf2_raw,tabular_plus_top30_source,rf_leaf2,7,random_2fold_sequence_cv,294,275,2,8.249219879627942,13.77315961337472,0.30710481910725873,0.5921456391910217,-0.01341430600724191,direct_temporal,False,,,,
direct_T7_random2fold_raw_source_et_leaf3_log1p,raw_source,et_leaf3,7,random_2fold_sequence_cv,959,275,2,7.255394183280738,13.800247275139181,0.3043767062811671,0.6624287731116709,-1.7802371390785658,direct_temporal,True,,,,
direct_T7_random2fold_top30_source_et_leaf2_raw,top30_source,et_leaf2,7,random_2fold_sequence_cv,210,275,2,8.265518090927978,13.81602550568448,0.302785143622064,0.5816672101543141,0.33593715293806325,direct_temporal,False,,,,
direct_T7_random2fold_top30_source_et_leaf1_log1p,top30_source,et_leaf1,7,random_2fold_sequence_cv,210,275,2,7.549512260829617,13.84852839859761,0.2995008190581895,0.6296212094081859,-1.9272142978758158,direct_temporal,True,,,,
direct_T7_random2fold_tabular_hgb_slow_raw,tabular,hgb_slow,7,random_2fold_sequence_cv,84,275,2,8.94638539806686,13.854881435938335,0.2988579611145097,0.5489760826288913,0.7547924547485002,direct_temporal,False,,,,
direct_T7_random2fold_top30_source_hgb_slow_log1p,top30_source,hgb_slow,7,random_2fold_sequence_cv,210,275,2,7.750164008391963,13.877072797000803,0.2966101242241148,0.53718981093058,-1.8760537361711311,direct_temporal,True,,,,
direct_T7_random2fold_top30_source_et_leaf1_raw,top30_source,et_leaf1,7,random_2fold_sequence_cv,210,275,2,8.370849494385102,13.892031028926612,0.2950929253671202,0.5702564606778048,0.4594437144727379,direct_temporal,False,,,,
direct_T7_random2fold_tabular_plus_top30_source_rf_leaf2_log1p,tabular_plus_top30_source,rf_leaf2,7,random_2fold_sequence_cv,294,275,2,7.387621578836354,13.9148582551501,0.29277443161206584,0.6246507602204207,-2.4448176060409694,direct_temporal,True,,,,
direct_T7_random2fold_raw_source_et_leaf2_log1p,raw_source,et_leaf2,7,random_2fold_sequence_cv,959,275,2,7.289227623612836,14.104201030105328,0.27339671198786464,0.6619157942856473,-1.798299464139775,direct_temporal,True,,,,
direct_T7_random2fold_raw_source_et_leaf2_raw,raw_source,et_leaf2,7,random_2fold_sequence_cv,959,275,2,8.104815982970216,14.412356899047724,0.24129945447697698,0.6006976282445938,0.036129574404875846,direct_temporal,False,,,,
direct_T7_random2fold_top30_source_rf_leaf2_log1p,top30_source,rf_leaf2,7,random_2fold_sequence_cv,210,275,2,7.805686214953388,14.491557994042088,0.2329378766633866,0.5599691867629016,-2.4327726107894647,direct_temporal,True,,,,
direct_T7_random2fold_tabular_plus_raw_source_hgb_slow_raw,tabular_plus_raw_source,hgb_slow,7,random_2fold_sequence_cv,1043,275,2,9.299054422077834,14.545183439318993,0.22725040601239177,0.47166267562967035,1.2316556707600057,direct_temporal,False,,,,
direct_T7_random2fold_raw_source_hgb_slow_raw,raw_source,hgb_slow,7,random_2fold_sequence_cv,959,275,2,9.292548184998664,14.65290334763773,0.2157622387476088,0.44019122751711726,0.9872469235993383,direct_temporal,False,,,,
direct_T7_random2fold_top30_source_rf_leaf2_raw,top30_source,rf_leaf2,7,random_2fold_sequence_cv,210,275,2,9.1230650878878,14.867468276480794,0.19262662967583188,0.4190252249103996,0.5833553342803408,direct_temporal,False,,,,
direct_T7_random2fold_raw_source_et_leaf1_log1p,raw_source,et_leaf1,7,random_2fold_sequence_cv,959,275,2,7.444716916936189,14.869162180215817,0.19244264533490485,0.6657057210902851,-1.584802131410679,direct_temporal,True,,,,
direct_T7_random2fold_top30_source_hgb_slow_raw,top30_source,hgb_slow,7,random_2fold_sequence_cv,210,275,2,9.466590642400456,14.899920274882822,0.18909819109453285,0.39849741643369563,0.4058310588682078,direct_temporal,False,,,,
direct_T7_random2fold_tabular_plus_top30_source_hgb_slow_raw,tabular_plus_top30_source,hgb_slow,7,random_2fold_sequence_cv,294,275,2,9.435539966567266,15.07765749890551,0.16963673587774963,0.48655376359597247,0.9826204483008611,direct_temporal,False,,,,
direct_T7_random2fold_tabular_plus_top30_source_ridge_raw,tabular_plus_top30_source,ridge,7,random_2fold_sequence_cv,294,275,2,11.174539042035688,15.175154563194036,0.15886321473364018,0.4624394011761335,1.1695268351298898,direct_temporal,False,,,,
direct_T7_random2fold_tabular_plus_raw_source_et_leaf1_raw,tabular_plus_raw_source,et_leaf1,7,random_2fold_sequence_cv,1043,275,2,7.734639023318027,15.181760138197738,0.15813078049391738,0.6385614956290933,-1.2762690473766582,direct_temporal,False,,,,
direct_T7_random2fold_tabular_plus_raw_source_ridge_log1p,tabular_plus_raw_source,ridge,7,random_2fold_sequence_cv,1043,275,2,9.195671826160357,15.882576690382388,0.07861252986770983,0.5267055191714031,0.8405900113772091,direct_temporal,True,,,,
direct_T7_random2fold_tabular_plus_raw_source_ridge_raw,tabular_plus_raw_source,ridge,7,random_2fold_sequence_cv,1043,275,2,11.45326969822804,15.892619913754542,0.07744689709818842,0.45567600291902954,2.4411053822806306,direct_temporal,False,,,,
direct_T7_random2fold_top30_source_ridge_log1p,top30_source,ridge,7,random_2fold_sequence_cv,210,275,2,10.287877739531874,16.082055902546827,0.055322623571918195,0.302946021879251,-0.3785434693892115,direct_temporal,True,,,,
direct_T7_random2fold_raw_source_et_leaf1_raw,raw_source,et_leaf1,7,random_2fold_sequence_cv,959,275,2,8.037456902082592,16.291775022800937,0.030523718770126607,0.5827324057818053,-1.422251661052596,direct_temporal,False,,,,
direct_T7_random2fold_raw_source_ridge_raw,raw_source,ridge,7,random_2fold_sequence_cv,959,275,2,11.954643798932805,17.14095728592142,-0.07317494623769294,0.3534081370760871,2.474585118378648,direct_temporal,False,,,,
direct_T7_random2fold_top30_source_ridge_raw,top30_source,ridge,7,random_2fold_sequence_cv,210,275,2,12.921774687668515,17.732815283926286,-0.14856548235541434,0.2356311678777249,1.3773941416454865,direct_temporal,False,,,,
direct_T7_random2fold_raw_source_ridge_log1p,raw_source,ridge,7,random_2fold_sequence_cv,959,275,2,10.796070088949087,24.292580987013938,-1.1554983684816489,0.4329881738779129,1.4608649184779812,direct_temporal,True,,,,
