experiment,feature_set,model,T,cv,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
residual_T7_random2fold_raw_source_base-et_leaf2_res-et_leaf1_raw,raw_source,base_et_leaf2_res_et_leaf1,7,random_2fold_sequence_cv,1043,275,2,7.042066472318631,12.47115890211021,0.4319141058723367,0.6961968783358818,-0.40260909726849226,residual_temporal,False,et_leaf2,et_leaf1,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-rf_leaf2_raw,raw_source,base_et_leaf3_res_rf_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.306977225696534,12.48416579745774,0.4307285084379012,0.6786913245434351,0.060610714833021925,residual_temporal,False,et_leaf3,rf_leaf2,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-et_leaf2_log1p,raw_source,base_et_leaf2_res_et_leaf2,7,random_2fold_sequence_cv,1043,275,2,6.730770185479879,12.495282741319546,0.42971420326839715,0.6845988286546839,-1.5064291442370532,residual_temporal,True,et_leaf2,et_leaf2,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-rf_leaf2_log1p,raw_source,base_et_leaf2_res_rf_leaf2,7,random_2fold_sequence_cv,1043,275,2,6.851039897750272,12.497152242213184,0.42954354213402957,0.6800877066443554,-1.4261674229830408,residual_temporal,True,et_leaf2,rf_leaf2,84.0,959.0
residual_T7_random2fold_top30_source_base-et_leaf3_res-et_leaf3_raw,top30_source,base_et_leaf3_res_et_leaf3,7,random_2fold_sequence_cv,294,275,2,7.290221729870525,12.504412631360626,0.4288805208481974,0.6785384149332102,0.0409556006550953,residual_temporal,False,et_leaf3,et_leaf3,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-rf_leaf2_log1p,raw_source,base_et_leaf3_res_rf_leaf2,7,random_2fold_sequence_cv,1043,275,2,7.116189699216342,12.512556224862651,0.4281363868365451,0.6683148206918439,-0.9166224929443022,residual_temporal,True,et_leaf3,rf_leaf2,84.0,959.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-rf_leaf2_raw,top30_source,base_et_leaf2_res_rf_leaf2,7,random_2fold_sequence_cv,294,275,2,7.259695761507939,12.532280360546604,0.426332054370269,0.6813554138657281,0.12856566895723445,residual_temporal,False,et_leaf2,rf_leaf2,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-et_leaf2_log1p,top30_source,base_et_leaf2_res_et_leaf2,7,random_2fold_sequence_cv,294,275,2,6.8573206977398895,12.538415752455492,0.4257702189931657,0.6763186290066646,-1.3791594631183344,residual_temporal,True,et_leaf2,et_leaf2,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf3_res-et_leaf1_raw,top30_source,base_et_leaf3_res_et_leaf1,7,random_2fold_sequence_cv,294,275,2,7.266316193715,12.556129409961384,0.42414658568619334,0.690011251839243,0.11967859614622058,residual_temporal,False,et_leaf3,et_leaf1,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-et_leaf3_log1p,top30_source,base_et_leaf2_res_et_leaf3,7,random_2fold_sequence_cv,294,275,2,6.874591156040464,12.561659593867006,0.4236392196847417,0.6795926257176654,-1.3695604342729408,residual_temporal,True,et_leaf2,et_leaf3,84.0,210.0
direct_T7_random2fold_tabular_plus_top30_source_et_leaf2_raw,tabular_plus_top30_source,et_leaf2,7,random_2fold_sequence_cv,294,275,2,7.546982281343768,12.570652603546424,0.4228136801300939,0.6634857620957272,0.22974018561705248,direct_temporal,False,,,,
residual_T7_random2fold_top30_source_base-et_leaf2_res-et_leaf1_log1p,top30_source,base_et_leaf2_res_et_leaf1,7,random_2fold_sequence_cv,294,275,2,6.892410338481894,12.597838015842514,0.4203145235027864,0.6823403825625343,-1.3219980318848055,residual_temporal,True,et_leaf2,et_leaf1,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf3_res-rf_leaf2_raw,top30_source,base_et_leaf3_res_rf_leaf2,7,random_2fold_sequence_cv,294,275,2,7.398683310524227,12.61719839814,0.41853143085855515,0.6662819884019504,0.09744846899342874,residual_temporal,False,et_leaf3,rf_leaf2,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-hgb_slow_raw,raw_source,base_et_leaf2_res_hgb_slow,7,random_2fold_sequence_cv,1043,275,2,7.353623601712862,12.632381919376275,0.4171311116534915,0.6741282709673697,0.12437889313791053,residual_temporal,False,et_leaf2,hgb_slow,84.0,959.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-rf_leaf2_log1p,top30_source,base_et_leaf2_res_rf_leaf2,7,random_2fold_sequence_cv,294,275,2,6.917264434275497,12.643453856748845,0.4161089266020551,0.6696742736793515,-1.3787005815916547,residual_temporal,True,et_leaf2,rf_leaf2,84.0,210.0
direct_T7_random2fold_tabular_et_leaf2_log1p,tabular,et_leaf2,7,random_2fold_sequence_cv,84,275,2,6.688581860371019,12.667103735611049,0.41392251958106385,0.6882334612388564,-2.0670410132810813,direct_temporal,True,,,,
residual_T7_random2fold_top30_source_base-et_leaf3_res-et_leaf2_log1p,top30_source,base_et_leaf3_res_et_leaf2,7,random_2fold_sequence_cv,294,275,2,7.162303955807992,12.684740436721068,0.41228936500671887,0.6668538126424511,-0.8593187073709867,residual_temporal,True,et_leaf3,et_leaf2,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-hgb_slow_raw,raw_source,base_et_leaf3_res_hgb_slow,7,random_2fold_sequence_cv,1043,275,2,7.452291287438645,12.688360301959625,0.411953885244539,0.6468457343988921,0.15490151287896425,residual_temporal,False,et_leaf3,hgb_slow,84.0,959.0
residual_T7_random2fold_top30_source_base-et_leaf3_res-et_leaf3_log1p,top30_source,base_et_leaf3_res_et_leaf3,7,random_2fold_sequence_cv,294,275,2,7.1529102824273325,12.696037418642689,0.41124207311380634,0.6694757796947578,-0.8925929077693353,residual_temporal,True,et_leaf3,et_leaf3,84.0,210.0
residual_T7_random2fold_raw_source_base-et_leaf3_res-et_leaf1_log1p,raw_source,base_et_leaf3_res_et_leaf1,7,random_2fold_sequence_cv,1043,275,2,6.748311488776459,12.707891542642727,0.41014212870763467,0.6841874152505698,-1.7746769600620056,residual_temporal,True,et_leaf3,et_leaf1,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-et_leaf1_log1p,raw_source,base_et_leaf2_res_et_leaf1,7,random_2fold_sequence_cv,1043,275,2,6.6915228942679175,12.75323497447232,0.4059252376468173,0.6938484175297885,-1.9349256733399405,residual_temporal,True,et_leaf2,et_leaf1,84.0,959.0
residual_T7_random2fold_top30_source_base-et_leaf3_res-et_leaf1_log1p,top30_source,base_et_leaf3_res_et_leaf1,7,random_2fold_sequence_cv,294,275,2,7.205608808274421,12.772815549942443,0.4040996215516479,0.6764132598597848,-0.762452734675766,residual_temporal,True,et_leaf3,et_leaf1,84.0,210.0
direct_T7_random2fold_tabular_plus_top30_source_ridge_log1p,tabular_plus_top30_source,ridge,7,random_2fold_sequence_cv,294,275,2,8.198120932687734,12.780988281834667,0.40333679958888546,0.5379735149014743,0.13242611939011162,direct_temporal,True,,,,
residual_T7_random2fold_raw_source_base-et_leaf3_res-hgb_slow_log1p,raw_source,base_et_leaf3_res_hgb_slow,7,random_2fold_sequence_cv,1043,275,2,7.358694289835052,12.789587659532355,0.40253362878283194,0.6316182452900956,-0.7199020923252502,residual_temporal,True,et_leaf3,hgb_slow,84.0,959.0
residual_T7_random2fold_raw_source_base-et_leaf2_res-hgb_slow_log1p,raw_source,base_et_leaf2_res_hgb_slow,7,random_2fold_sequence_cv,1043,275,2,7.065196410276203,12.799047331700278,0.40164948359981323,0.6546002711981767,-1.3212482528371583,residual_temporal,True,et_leaf2,hgb_slow,84.0,959.0
direct_T7_random2fold_tabular_plus_top30_source_et_leaf2_log1p,tabular_plus_top30_source,et_leaf2,7,random_2fold_sequence_cv,294,275,2,6.852243825156327,12.837765246414328,0.39802391299363893,0.6823421136147255,-2.0435769548144833,direct_temporal,True,,,,
residual_T7_random2fold_top30_source_base-et_leaf3_res-hgb_slow_log1p,top30_source,base_et_leaf3_res_hgb_slow,7,random_2fold_sequence_cv,294,275,2,7.368374694549659,12.886807148674855,0.3934158771152615,0.6220299472029082,-0.8212622780761341,residual_temporal,True,et_leaf3,hgb_slow,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-hgb_slow_log1p,top30_source,base_et_leaf2_res_hgb_slow,7,random_2fold_sequence_cv,294,275,2,7.198296498262764,12.890202537159455,0.3930961920218097,0.642392891145668,-1.2223786290040874,residual_temporal,True,et_leaf2,hgb_slow,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf3_res-rf_leaf2_log1p,top30_source,base_et_leaf3_res_rf_leaf2,7,random_2fold_sequence_cv,294,275,2,7.342236046513538,12.918882254502789,0.3903925583219052,0.6417322062260177,-0.8364058679028715,residual_temporal,True,et_leaf3,rf_leaf2,84.0,210.0
direct_T7_random2fold_tabular_plus_top30_source_et_leaf1_log1p,tabular_plus_top30_source,et_leaf1,7,random_2fold_sequence_cv,294,275,2,6.870058002214275,12.9247427023124,0.3898393552124406,0.6878560918611697,-1.8964493647685046,direct_temporal,True,,,,
residual_T7_random2fold_top30_source_base-et_leaf3_res-hgb_slow_raw,top30_source,base_et_leaf3_res_hgb_slow,7,random_2fold_sequence_cv,294,275,2,7.559470360818926,12.944014783503526,0.3880183777698588,0.6381460431031996,0.09906142087802611,residual_temporal,False,et_leaf3,hgb_slow,84.0,210.0
residual_T7_random2fold_top30_source_base-et_leaf2_res-hgb_slow_raw,top30_source,base_et_leaf2_res_hgb_slow,7,random_2fold_sequence_cv,294,275,2,7.512352620783554,12.961538891857405,0.3863602072541671,0.6606543377282825,0.2500098938546484,residual_temporal,False,et_leaf2,hgb_slow,84.0,210.0
