timestamp_parsed,count,mean,std,min,max,range
2026-02-23 12:17:00,6,98.67847157666667,40.87638140385906,39.94161689,147.5344017,107.59278480999998
2026-02-23 12:16:00,6,34.93176279166667,20.979450034494345,17.33895608,70.63740531,53.29844923
2026-02-23 12:19:00,6,28.844244619999998,19.419691326114336,10.06876295,62.82214928,52.75338633
2026-02-23 12:12:00,6,21.23588692,14.124712294366983,11.31640995,48.47772157,37.16131162
2026-02-23 12:14:00,6,29.414350566666666,14.613059440459102,16.8463986,53.7477345,36.9013359
2026-02-23 12:24:00,6,37.54891329833334,13.154680348033036,13.26422398,48.81253173,35.548307750000006
2026-02-23 12:02:00,6,25.551911968333332,12.71981259863216,11.57170067,45.91666396,34.34496329
2026-02-23 12:20:00,6,28.811298528333335,11.579935542472224,14.70742572,45.58480954,30.877383820000002
2026-02-23 12:23:00,6,26.964419300000003,11.288721232440214,16.94353295,46.62044799,29.67691504
2026-02-23 12:05:00,6,19.287915267333332,10.716341153617655,7.703279886,35.94641968,28.243139793999998
2026-02-23 12:13:00,6,26.839413885,10.800790884127649,16.9641832,44.61456476,27.65038156
2026-02-23 11:58:00,6,33.934965565,10.073272071930436,23.05210768,50.04990567,26.997797990000002
2026-02-23 11:57:00,6,20.806184365,10.56017213012844,11.23484288,35.91677966,24.68193678
2026-02-23 12:22:00,6,20.75251486666667,8.928375961187855,12.1475718,36.73274174,24.58516994
2026-02-23 12:35:00,6,23.014821825,7.872355959093554,11.98474229,34.95973801,22.974995720000003
2026-02-23 12:06:00,6,21.168292495,8.58815810513081,13.30335939,35.70437008,22.401010689999996
2026-02-23 11:59:00,6,16.324241997,7.845533640791698,8.76139788,28.48736567,19.72596779
2026-02-23 12:28:00,6,20.63671683,7.064232965764574,15.06122286,33.94928986,18.888067
2026-02-23 12:37:00,6,22.263680590000003,7.680766674602463,14.3505105,32.21782426,17.867313760000002
2026-02-23 12:18:00,6,20.181826851666667,6.384713976625076,13.05183698,30.56802281,17.516185829999998
2026-02-23 12:27:00,6,18.284224560000002,6.329283692850888,13.94999619,30.38213113,16.43213494
2026-02-23 12:03:00,6,18.455263008333333,5.769175872734899,12.83057234,29.01821821,16.18764587
2026-02-23 12:31:00,6,11.713134230499998,5.5847237561105265,7.002265756,22.08762931,15.085363554
2026-02-23 12:09:00,6,18.047287700000002,5.406668712021056,12.39284091,26.82225045,14.429409539999998
2026-02-23 12:25:00,6,17.0822832,4.354541608101623,11.94041191,24.14057078,12.200158870000001
2026-02-23 12:29:00,6,15.924821861666667,4.73648812771635,11.67255682,23.37405786,11.70150104
2026-02-23 12:33:00,6,16.82400238,3.22139568656338,11.81968428,20.86662818,9.046943899999999
2026-02-23 12:26:00,6,17.927994595,3.56107215933584,14.68633238,23.61189449,8.925562110000001
2026-02-23 12:15:00,6,16.033891721666667,2.68136777726592,14.2671658,21.23921735,6.97205155
2026-02-23 12:21:00,6,17.209419890000003,2.4294942222734863,15.4166946,21.94034108,6.52364648
2026-02-23 12:00:00,6,11.979150701833333,2.454612809420604,8.91882256,15.08895117,6.170128609999999
2026-02-23 12:10:00,6,15.549666951666666,2.245290043768672,12.0515768,18.00137933,5.9498025299999995
2026-02-23 12:08:00,6,11.359315452166667,1.7845639178765205,9.562284463,13.86050894,4.2982244770000015
2026-02-23 11:56:00,6,10.574411551333334,1.4650470151810846,8.665372808,12.35877611,3.693403302
2026-02-23 12:34:00,6,8.701372866,1.0258670566461239,7.121738678,9.972047504,2.850308826000001
2026-02-23 12:38:00,6,11.869195873333334,0.9433979014070722,10.63514369,13.39501296,2.759869270000001
2026-02-23 12:32:00,6,10.020560037000001,0.9373007143249267,8.728507561,11.07888834,2.350380779
2026-02-23 12:39:00,6,11.60743688,0.8101402616197854,10.38840788,12.42252018,2.0341122999999985
2026-02-23 12:40:00,6,12.109476889999998,0.8236693163591293,10.99243282,12.98172962,1.9892968
2026-02-23 12:41:00,6,10.380393513333333,0.6374432777328861,9.728943235,11.53597423,1.8070309950000016
2026-02-23 12:11:00,6,10.540214382666667,0.5582266446165621,9.956087316,11.48521896,1.5291316439999996
2026-02-23 12:04:00,6,11.489834933333334,0.5416678476029533,10.90545443,12.38787579,1.48242136
2026-02-23 11:55:00,6,10.773611793333332,0.39763292432212277,10.07544262,11.20149268,1.126050059999999
2026-02-23 12:01:00,6,9.363147717833334,0.19700240020975,9.135203902,9.692778771,0.5575748689999998
2026-02-23 12:30:00,5,9.2228081382,3.3227825715003254,6.149734632,14.43188681,8.282152178
2026-02-23 12:07:00,5,11.063873322000001,0.24873494123256382,10.83214099,11.44094195,0.60880096
2026-02-23 12:36:00,4,20.2568609025,2.03029922185849,17.45373057,22.10305904,4.64932847
2026-02-23 11:54:00,3,10.776583250000002,0.6748416111644214,10.07489207,11.42091362,1.3460215499999997
