experiment,feature_set,model,T,cv,pca_dim,n_rows,n_features_per_timestep,n_flattened_features,explained_variance,log_target,valid_embedding_rows,total_rows,MAE,RMSE,R2,Spearman,Bias
resnet50_pca16_T7_random2fold_lstm_h32_log1p,resnet50_pca16_T7,lstm_h32,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,8.45703147613951,15.095974744001266,0.24923094393732992,0.4875674988520926,-3.8009402895178406
resnet50_pca16_T7_random2fold_gru_h8_log1p,resnet50_pca16_T7,gru_h8,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,8.219983675960819,15.222742928497448,0.23656886132481791,0.5050403570086861,-2.9429803303894566
resnet50_pca64_T7_random2fold_gru_h32_raw,resnet50_pca64_T7,gru_h32,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,7.238047084583234,15.277125634843298,0.23110445698813897,0.6706814964917673,-4.028782149241206
resnet50_pca8_T7_random2fold_lstm_h32_raw,resnet50_pca8_T7,lstm_h32,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,False,252,281,7.547160360946164,15.335731673013578,0.22519387461962614,0.6358382380285592,-3.1422803570784215
resnet50_pca16_T7_random2fold_gru_h32_raw,resnet50_pca16_T7,gru_h32,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,7.205142888900037,15.358116946716237,0.22293028445179153,0.678799383735006,-3.1986502782469657
resnet50_pca32_T7_random2fold_gru_h32_raw,resnet50_pca32_T7,gru_h32,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,7.464415379348231,15.364561381074912,0.2222780136753728,0.6210918971019608,-3.2751076385186977
resnet50_pca64_T7_random2fold_gru_h16_log1p,resnet50_pca64_T7,gru_h16,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,True,252,281,8.076308894055083,15.451863011416943,0.21341485256577641,0.5848047419010863,-5.179537569504439
resnet50_pca64_T7_random2fold_flattened_random_forest_log1p,resnet50_pca64_T7,flattened_random_forest,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,True,252,281,8.397333559618835,15.4761288476411,0.21094238258340603,0.34336661316090056,-2.570332835552362
resnet50_pca32_T7_random2fold_gru_h8_log1p,resnet50_pca32_T7,gru_h8,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,8.44358327767368,15.573980600750447,0.2009328040945142,0.5209725526804112,-3.8315843717223075
resnet50_pca8_T7_random2fold_lstm_h32_log1p,resnet50_pca8_T7,lstm_h32,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,8.339284018897192,15.617856690845333,0.19642408768814945,0.5152681170144542,-3.306088854826571
resnet50_pca32_T7_random2fold_lstm_h16_log1p,resnet50_pca32_T7,lstm_h16,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,True,252,281,8.317076486579339,15.680916816301638,0.1899217998148709,0.4704152958185813,-5.128113308689625
resnet50_pca64_T7_random2fold_gru_h8_log1p,resnet50_pca64_T7,gru_h8,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,True,252,281,8.809706274531942,15.767270982474601,0.18097509800995182,0.36608948744511866,-3.975324581621031
resnet50_pca16_T7_random2fold_gru_h16_log1p,resnet50_pca16_T7,gru_h16,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,True,252,281,8.480527721249494,15.821234159432459,0.1753593110078,0.4840241648736543,-3.698612437227765
resnet50_pca64_T7_random2fold_gru_h32_log1p,resnet50_pca64_T7,gru_h32,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,True,252,281,8.623869052772358,15.862703897338406,0.17103064089775388,0.5165184822577157,-5.741603986388112
resnet50_pca64_T7_random2fold_lstm_h32_log1p,resnet50_pca64_T7,lstm_h32,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,True,252,281,8.604411609183053,15.871608180691888,0.17009972145000263,0.5155176208528288,-5.3326491664919216
resnet50_pca16_T7_random2fold_lstm_h32_raw,resnet50_pca16_T7,lstm_h32,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,7.733794760806366,15.902599009153114,0.16685563848506113,0.5899930935819645,-3.9794368498315116
