experiment,feature_set,model,T,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_T7_raw_source_et_leaf3_log1p,raw_source,et_leaf3,7,959,275,5,6.799701951008483,13.054003748963316,0.37757382746165746,0.7049497357900252,-1.4463010194032866,direct_temporal,True,,,,
direct_T7_raw_source_rf_leaf2_log1p,raw_source,rf_leaf2,7,959,275,5,7.212232292499075,13.090624962949617,0.37407666671087614,0.6236291445974853,-2.020239289410098,direct_temporal,True,,,,
direct_T7_top30_source_hgb_slow_log1p,top30_source,hgb_slow,7,210,275,5,7.284825029077172,13.246200382298303,0.35911069968824294,0.5974987911493389,-2.075661041950282,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_rf_leaf2_log1p,tabular_plus_top30_source,rf_leaf2,7,294,275,5,7.02724010958707,13.286637409766321,0.3551918075983701,0.6868693921121722,-2.186812165387806,direct_temporal,True,,,,
direct_T7_raw_source_et_leaf3_raw,raw_source,et_leaf3,7,959,275,5,7.7359098713075545,13.358606227509371,0.3481875123553161,0.6536330337130138,0.5319747901660661,direct_temporal,False,,,,
direct_T7_raw_source_rf_leaf2_raw,raw_source,rf_leaf2,7,959,275,5,8.262221309155873,13.377696648404696,0.34632320618952017,0.5242853318094315,0.6015711967751306,direct_temporal,False,,,,
direct_T7_top30_source_hgb_slow_raw,top30_source,hgb_slow,7,210,275,5,8.150764766397565,13.468642618036286,0.3374051765429761,0.4450500911162093,0.06583855104532885,direct_temporal,False,,,,
direct_T7_raw_source_ridge_log1p,raw_source,ridge,7,959,275,5,8.22315390771405,13.479389578745147,0.33634735331633936,0.48416628103008463,-0.9624305793740727,direct_temporal,True,,,,
direct_T7_raw_source_et_leaf1_log1p,raw_source,et_leaf1,7,959,275,5,6.8275199112379665,13.635108477003534,0.32092526195939675,0.7074747755755851,-1.2961414594965126,direct_temporal,True,,,,
direct_T7_tabular_plus_top30_source_ridge_raw,tabular_plus_top30_source,ridge,7,294,275,5,9.774463797098415,13.663170183128278,0.3181272490438942,0.4680364631351715,0.638517987609178,direct_temporal,False,,,,
direct_T7_tabular_plus_raw_source_ridge_raw,tabular_plus_raw_source,ridge,7,1043,275,5,10.276518219092,13.789967371070876,0.3054126699404903,0.4741267901632542,1.1148989867800656,direct_temporal,False,,,,
direct_T7_raw_source_et_leaf2_raw,raw_source,et_leaf2,7,959,275,5,7.531244777448999,13.840388797837086,0.3003240268191604,0.6497121824006555,-0.2021051829248294,direct_temporal,False,,,,
direct_T7_top30_source_rf_leaf2_log1p,top30_source,rf_leaf2,7,210,275,5,7.561941721574546,13.996843867318706,0.28441600862407623,0.5968836877646482,-2.1864838185651716,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_et_leaf1_raw,tabular_plus_raw_source,et_leaf1,7,1043,275,5,7.297906373734078,14.06622443413267,0.277304309464125,0.699984420530279,-0.38293804877414916,direct_temporal,False,,,,
direct_T7_top30_source_rf_leaf2_raw,top30_source,rf_leaf2,7,210,275,5,8.72098074709353,14.267754697788135,0.25644748323819744,0.4792016004279459,0.7167458176217414,direct_temporal,False,,,,
direct_T7_raw_source_ridge_raw,raw_source,ridge,7,959,275,5,10.730203555877022,14.49874644988534,0.2321766942153275,0.4006961442421948,0.8102413690018268,direct_temporal,False,,,,
direct_T7_top30_source_ridge_log1p,top30_source,ridge,7,210,275,5,9.493578934063033,14.900676084101383,0.18901592184801597,0.24648710187320982,-1.2318070298647323,direct_temporal,True,,,,
direct_T7_raw_source_et_leaf1_raw,raw_source,et_leaf1,7,959,275,5,7.741346037745165,15.238814686674088,0.15179123578659437,0.6369081072540425,-0.6844798942332845,direct_temporal,False,,,,
direct_T7_top30_source_ridge_raw,top30_source,ridge,7,210,275,5,11.327701287768127,15.65468064092284,0.10486445146551227,0.23956365868142318,0.3916008826615105,direct_temporal,False,,,,
