target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss,model_seed,split_seed
PM2.5,0.9398311972618103,11.410431061608442,6.180357456207275,random,t7_multimodal_gru_no_pm_inputs,1024,112,1136,18059,3187,5312,80,0.024659264259613477,11,42
PM10,0.9600296020507812,23.02397697238685,11.656559944152832,random,t7_multimodal_gru_no_pm_inputs,1024,112,1136,18059,3187,5312,80,0.024659264259613477,11,42
aqi,0.9478297233581543,25.01513823894006,13.622457504272461,random,t7_multimodal_gru_no_pm_inputs,1024,112,1136,18059,3187,5312,80,0.024659264259613477,11,42
Average,0.9492301742235819,19.816515424311785,10.48645830154419,random,t7_multimodal_gru_no_pm_inputs,1024,112,1136,18059,3187,5312,80,0.024659264259613477,11,42
