epoch,train_loss,val_loss
1,0.298962973792788,0.26618525500480944
2,0.21417507088520157,0.18530737665983346
3,0.16227519281313452,0.15760745681249178
4,0.13498639619686234,0.13024935412865418
5,0.11317184577945252,0.1047193304850505
6,0.09553011695683843,0.08868563461762208
7,0.08297620320194204,0.0756052454503683
8,0.07348989333275338,0.06527887112819232
9,0.06823454151900721,0.06190256745769428
10,0.06286443507587405,0.057334172611053176
11,0.05891054852957457,0.055270143712942414
12,0.055251615043257325,0.052389006775159105
13,0.05227430458639709,0.048194010383807696
14,0.05010360773180572,0.04917746495742064
15,0.04864166991811403,0.04589567677332805
16,0.046784108373480786,0.04486606871852508
17,0.044852256617495714,0.044050722454602904
18,0.042690807717366955,0.0418339973458877
19,0.042442441458853196,0.040190196954287015
20,0.041219593406143326,0.040814037792957746
21,0.040269670247192114,0.039932049524325594
22,0.0389856544231445,0.037960690804398976
23,0.037527905278642415,0.03853497467935085
24,0.03736895265083917,0.036695725069596216
25,0.036110583194334744,0.03686283385524383
26,0.03521239573896771,0.036130665156703726
27,0.034089460942736814,0.03522535872000914
28,0.03391097436173701,0.0357928191526578
29,0.03271970777234561,0.03523547231004788
30,0.031813257465689956,0.03345711443286676
31,0.031125080338876013,0.032374038432653136
32,0.031100094056045507,0.03248022539684406
33,0.03010988576521336,0.03370467043266846
34,0.02931448261083012,0.03189864969597413
35,0.0283553323013262,0.03294527100828978
36,0.028399405030297562,0.031320666607755884
37,0.02802840504847782,0.030522987962915346
38,0.02706547089340821,0.03134561931857696
39,0.026572230521222234,0.030303136230661318
40,0.026444734402105843,0.030741246703725595
41,0.02613242857263122,0.030969834241729517
42,0.025918231621174743,0.02974608039053587
43,0.025337675166591793,0.030067590853342645
44,0.024801623522185942,0.029680879070208624
45,0.024467274835202057,0.030338042200757906
46,0.024244147287288183,0.029117826372385025
47,0.023454401589615245,0.029912535244455703
48,0.023471369867173717,0.02849577969083419
49,0.023235475592000385,0.028037061198399618
50,0.023064487810495873,0.028465839819266245
51,0.022498014619127964,0.028168910827774268
52,0.022521376255637323,0.028645212690417584
53,0.02234222955057319,0.02761770312029582
54,0.021295020461712087,0.027664071522079982
55,0.021955853590453173,0.027666157398086328
56,0.021430769712257554,0.027152844203206208
57,0.02106977380077604,0.02837840295754946
58,0.02063807800517116,0.026949563565162513
59,0.02080300021391939,0.02817446652513284
60,0.020524567530923327,0.0271754337904545
61,0.02004277935697579,0.02607391172876725
62,0.020444874336916795,0.02741949761716219
63,0.019990697201393858,0.02627925818356184
64,0.019614265654498423,0.026600518622077428
65,0.01979969057556189,0.026873022317886353
66,0.01934865879183504,0.026231335046199653
67,0.019341644896587854,0.026998638533628903
68,0.01945363267154341,0.02639874113866916
69,0.01892725735063284,0.02708735202367489
70,0.018976721243644263,0.026348980286946662
71,0.018879359063338225,0.025921391753049996
72,0.01854478706881194,0.026833329493036635
73,0.01844986499300305,0.02535932883620262
74,0.018170115774051403,0.02524012613755006
75,0.017794748243521636,0.025425568079719178
76,0.017703055771408786,0.025130716868891165
77,0.01802677146985497,0.025200430017251235
78,0.017985893137962887,0.02545117873411912
79,0.017811192002829532,0.024756981776310846
80,0.017309956554270967,0.024659264259613477
