feature,importance
num__dayofweek_cos,0.10343001581091987
num__image_id,0.0952143924495411
num__video_offset_sec,0.08928913284407332
num__processed_frame_key,0.08607824622089402
num__hour_cos,0.06879373547042937
num__dayofweek_sin,0.06677414341632161
num__hour_sin,0.06075172347598881
num__month_cos,0.04487158352490285
num__Humidity,0.0371982986224587
num__Humidity_yolo,0.03601708359604351
num__month_sin,0.03492194365467714
num__Temperature,0.03272305496498917
num__Temperature_yolo,0.03232934448579157
cat__Season_Monsoon,0.02631235546177726
cat__Season_Winter,0.015009891951479953
cat__Season_Summer,0.011636993589820382
cat__Day_or_Night_Day,0.007542969576932741
cat__Day_or_Night_Night,0.006751594934768189
num__road_area_ratio,0.005352447367685366
num__road_area_pixels,0.004860476678376788
num__bus_conf_sum,0.003391475895418805
num__road_laplacian_std,0.003050352608601949
num__bus_count,0.003004407220723638
num__car_conf_sum,0.0029619051526844726
num__left_half_vehicle_count,0.0028898173022312117
num__road_gray_dry_pixel_ratio,0.0028129586780409094
num__road_haze_flatness_proxy,0.0027770050542222807
num__road_mean_brightness,0.0027414072925997144
num__road_mean_saturation,0.002459430541162746
num__car_count,0.002427737492329824
num__total_vehicle_conf_sum,0.002219991208899834
num__road_shadow_ratio,0.0022193866989306545
num__road_brown_pixel_ratio,0.0021867304967768965
num__traffic_mix_count_index,0.002174527109353382
num__near_traffic_mix_count_index,0.0020931426945915883
num__near_vehicle_count,0.0019924283458410113
num__heavy_vehicle_count,0.001975734918888335
num__total_vehicle_count,0.0019317464378248292
num__car_conf_area_ratio,0.0018496112328373715
num__bottom_half_vehicle_count,0.0018442484341094076
num__road_edge_density,0.0018309618744787764
num__right_half_vehicle_count,0.0018010728691277632
num__truck_conf_sum,0.0018007882941010723
num__person_conf_sum,0.0017630276049200345
num__center_lane_vehicle_area_ratio,0.0017558946188974396
num__max_vehicle_box_area_ratio,0.0017558014341636278
num__car_area_ratio,0.0017460455763921036
num__bus_near_count,0.0017452894102468351
num__max_vehicle_confidence,0.0017118570484008406
num__total_vehicle_conf_area_ratio,0.0016979349971231958
num__vehicle_count_share_two_wheeler,0.0016927733038845484
num__road_contrast_std,0.0016924075799502527
num__center_lane_vehicle_count,0.0016824696663788696
num__truck_count,0.0016800131558549322
num__person_count,0.001672699541037131
num__total_vehicle_area_ratio,0.0016721145719070436
num__vehicle_area_share_heavy,0.0016545563567759592
num__vehicle_area_share_two_wheeler,0.0016507154780479314
num__auto_conf_sum,0.001644031435164688
num__car_near_count,0.0016340390821376104
num__detections_total_raw,0.0016271710840870827
num__bottom_half_vehicle_area_ratio,0.0015802165767807594
num__vehicle_count_share_heavy,0.0015578678277627894
num__car_near_area_ratio,0.001556500360640827
num__auto_area_ratio,0.0015409188518919613
num__mean_vehicle_box_area_ratio,0.001535875145656219
num__traffic_mix_area_index,0.0014805331281813805
num__motorcycle_conf_sum,0.0014630239225982063
num__auto_conf_area_ratio,0.0014409170801547848
num__vehicle_area_share_auto,0.001433899603644267
num__mean_vehicle_confidence,0.0014269333846673627
num__person_area_ratio,0.001422569259493589
num__near_vehicle_area_ratio,0.0014023765442446648
num__vehicle_count_share_auto,0.0013967899481172482
num__auto_count,0.001314547319537029
num__person_conf_area_ratio,0.0012848618023622214
num__motorcycle_area_ratio,0.0012728321556079731
num__near_heavy_vehicle_count,0.0012633154688675991
num__two_wheeler_count,0.0012464132176514455
num__near_traffic_mix_area_index,0.0012337455949490935
num__motorcycle_count,0.001224823063247137
num__person_near_count,0.0011782794654845706
num__auto_near_area_ratio,0.001160109470512961
num__two_wheeler_area_ratio,0.001155781661817853
num__two_wheeler_conf_area_ratio,0.0011540802073265071
num__bus_area_ratio,0.001136455778121681
num__motorcycle_conf_area_ratio,0.0010951984508230555
num__bus_conf_area_ratio,0.0010776363582159676
num__heavy_vehicle_conf_area_ratio,0.0010687448544942995
num__heavy_vehicle_area_ratio,0.0010491197025605506
num__bus_near_area_ratio,0.0010440392151438995
num__motorcycle_near_count,0.0009198487519529589
num__near_two_wheeler_count,0.0009039242549513234
num__near_heavy_vehicle_area_ratio,0.0008864535358885854
num__near_two_wheeler_area_ratio,0.0007745933600418334
num__motorcycle_near_area_ratio,0.000770873044340085
num__person_near_area_ratio,0.0007124243190591688
num__auto_near_count,0.0007084582963716127
num__truck_conf_area_ratio,0.0006674677400999038
num__bicycle_count,0.000631460453501909
num__truck_area_ratio,0.0006252174633797075
num__bicycle_conf_sum,0.00045062651113560783
num__road_glare_ratio,0.0003995270519023574
num__bicycle_near_count,0.00035472927264390905
num__truck_near_count,0.0002863378910980215
num__bicycle_area_ratio,0.0002692728909384074
num__bicycle_conf_area_ratio,0.00025107553641851406
num__bicycle_near_area_ratio,0.0002481873621780003
num__truck_near_area_ratio,0.00016597894652188534
num__lens_id,0.0
num__image_area,0.0
num__image_height,0.0
num__image_width,0.0
