epoch,train_loss,val_MAE,val_RMSE,val_R2,val_finite_fraction,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_finite_fraction,test_Pearson,test_Spearman
1,2.842537332192445,44.441016597432245,47.86153071695446,-5.8776055429760055,1.0,0.40727397937526305,0.46056171553317427,44.277791721957556,47.1876012339025,-6.6128896227872875,1.0,0.6479368619381892,0.7228851937998823
2,1.3471985499064127,29.95820569396019,37.13178829560961,-3.1395756794051373,1.0,0.38353553942529095,0.48004276208901897,31.375877395176243,35.134995001706976,-3.220593482183876,1.0,0.541540696019913,0.7445943799995421
3,0.5642778473022657,25.221943496956545,31.00192458843926,-1.885635062993111,1.0,0.39134243537675284,0.40081592167160945,30.37446355681444,33.93950976177347,-2.9382643260262467,1.0,0.5569205572867149,0.7080070947512479
4,0.30057215912219803,23.53172695496503,30.016698780983923,-1.70514126641251,1.0,0.31493591840806084,0.3815503517493639,30.184195499598367,33.9921888461702,-2.9504993387077882,1.0,0.5581848392564233,0.6979599115068901
5,0.1707893260014363,22.71973100830527,29.625442641395303,-1.6350799183957108,1.0,0.35008381113890696,0.38893532364635075,30.045718718588965,33.91249258961594,-2.9319967979171366,1.0,0.5708569189767929,0.685667584431388
6,0.15014027188985776,24.915625424946057,31.47422924586343,-1.9742283079551708,1.0,0.37033376178800687,0.40820089356859635,31.50835260641329,35.06850017909404,-3.20463320982676,1.0,0.5719838189435907,0.6860297044041532
7,0.16506808484211946,21.899638721522162,29.43371453778598,-1.6010831906772474,1.0,0.3780996253816228,0.4187200710452062,30.093375570995292,33.91246139204969,-2.9319895634931945,1.0,0.5777195744049024,0.6863523203798895
8,0.14686012774323806,23.202187012223636,29.975770285794642,-1.6977692446445438,1.0,0.4138127527704717,0.47381352849951813,30.18315017223358,34.014155153008325,-2.9556067426276473,1.0,0.5841089180761925,0.6985448653688024
9,0.18033844156142992,20.48771530459909,28.22404799665834,-1.3916779487508966,1.0,0.4201604406607173,0.4484950240516254,28.635698951396744,32.66877315145845,-2.6488783291466667,1.0,0.5823108254852514,0.697406855548485
10,0.1500256312199128,22.68945344756631,29.814987078555117,-1.66890641955422,1.0,0.4009014044284418,0.41725091217975796,30.36487034270444,34.0266559019005,-2.958514775054697,1.0,0.583744331111383,0.681622815185017
11,0.14011302983913665,22.11259097071255,29.463549613526393,-1.6063589668463139,1.0,0.39401896666168207,0.4146651925765689,29.92416126211894,33.64311853018644,-2.8697795309445695,1.0,0.5894100234798934,0.6945230637653732
12,0.16373431768554908,21.414434016452116,28.95091762820863,-1.5164526480883302,1.0,0.3759140150074035,0.4206789495324707,29.005341217382668,33.01759214086506,-2.7272157163598267,1.0,0.5790461418572654,0.688959584183799
13,0.13736995855967205,22.689655984149258,29.677992296683968,-1.6444364268840288,1.0,0.39219243987993685,0.4095525197248088,29.683155701639727,33.579351998961315,-2.8551240189912765,1.0,0.5796852362943895,0.6838504005680572
14,0.1543293097271369,22.404268748619977,29.377110420751006,-1.5910884993272294,1.0,0.3923636408552019,0.43390137932150546,29.22719676408571,33.19313161516745,-2.7669528795959866,1.0,0.577603711609132,0.6868197843447318
15,0.14945380396376817,21.0422291839824,28.567483828882022,-1.4502368990889374,1.0,0.3978474810440455,0.4473784633138848,28.96073986881787,32.861843383293184,-2.692135021099811,1.0,0.5881008055792543,0.6893743761526027
16,0.13621537654827803,24.99654520259184,30.95646431622009,-1.877178454135704,1.0,0.42473118538408006,0.48986653770265004,30.79676221019214,34.2263545337643,-3.005115281102146,1.0,0.5935159920281204,0.7148742062347772
17,0.14922062647648346,23.478130323746626,29.998848657453408,-1.701924873523767,1.0,0.4021932672555206,0.4562325940763199,29.96119746842335,33.59360164302865,-2.8583966134690546,1.0,0.5889017486669269,0.6990265194266712
18,0.12318846537516667,20.333940146951115,27.687549389119713,-1.3016173987998467,1.0,0.41012462292868834,0.450551846463253,27.996627018009264,31.79526194588911,-2.4563566243186354,1.0,0.583932634099614,0.6905002400679272
19,0.13502308420645884,22.46095817229327,29.522928761064886,-1.6168749655141497,1.0,0.3640710808151486,0.416310650505871,31.11644185388211,34.25281448481167,-3.011310280232511,1.0,0.5941137702088563,0.6905265760659464
20,0.14490434985894424,20.851230077182546,28.348339636881715,-1.4127890322319887,1.0,0.38255975380417684,0.4417466876629995,29.303915605717098,32.935580026169305,-2.708722713752259,1.0,0.5917525135270364,0.6869053763382945
21,0.1157965192428002,20.256876838908475,27.749214996487844,-1.3118811232285443,1.0,0.3908640196477562,0.4581718837787117,28.475127056087416,32.286222018500936,-2.5639219921316676,1.0,0.5939820854943767,0.6869053763382945
22,0.14011719628022268,22.713446956522326,29.436522987440497,-1.6015795846805672,1.0,0.391820119427167,0.44531184650982075,30.376549358834925,33.55889868857551,-2.850429108011025,1.0,0.6086177587730389,0.6868658723412656
23,0.13593901976560935,21.47021847332225,28.388406761931694,-1.419614253008675,1.0,0.4126122213568918,0.48986653770265004,28.170321024570267,31.966366120138098,-2.493657045360319,1.0,0.6046124519775667,0.6900130241045703
24,0.12069117442155496,22.362517996395336,28.92361437641864,-1.5117084156167024,1.0,0.4275608978534825,0.4591611174147802,29.39032277004006,32.787610737817815,-2.6754733027427826,1.0,0.6156443424569763,0.6781881609939107
25,0.11175087369405307,25.573430742936974,31.111786639039348,-1.9061230492895969,1.0,0.4058074723769312,0.44818160349366315,31.6938370669011,34.524114343462394,-3.075105197437243,1.0,0.6200731372232193,0.6789956175105692
26,0.10961460484526096,19.92288643612581,27.07322176104958,-1.2006145326490882,1.0,0.42722291634508713,0.48911236948505327,27.013084047848416,30.82286175793892,-2.2481767144899694,1.0,0.6079971814076007,0.6817435207265143
27,0.11577540731582886,21.1005178900326,28.001187288276814,-1.3540570745151537,1.0,0.42656556383873295,0.48539050035925085,28.325678239163665,31.965245919332492,-2.4934121924515016,1.0,0.6207340461460517,0.6884196962244035
28,0.11872615332786854,19.371860770618213,26.489691576817567,-1.1067737520508958,1.0,0.42384388628184533,0.49502818251659175,26.403688017854986,30.165143371146964,-2.111032294280245,1.0,0.6097653361399494,0.6930943358728269
29,0.11556072066991757,20.1650887966156,27.14790665914987,-1.21277262505293,1.0,0.43748237273879026,0.5240783504827231,26.952685785047787,30.813271298757666,-2.2461557042359335,1.0,0.6256423624009545,0.7238423427252636
30,0.1018434994495832,22.892598920709947,29.059964744511362,-1.5354453937313517,1.0,0.4385167843609227,0.5214534533097888,29.424941575404294,32.56527938754979,-2.6257958595252227,1.0,0.6368618417625469,0.7232563262013891
31,0.1007882286531803,21.444142389297486,28.21709391513567,-1.390499529944635,1.0,0.42194540086673754,0.4934414909419076,28.522538724633836,31.885195304468883,-2.4759369863494425,1.0,0.6360270903121601,0.7127607423937293
32,0.11285299477286828,19.532129318573897,27.012223764349248,-1.1907094049480311,1.0,0.42301168023189606,0.4976334909046534,26.891443717111017,30.6510966214714,-2.21207565653416,1.0,0.6306980772479402,0.7195163555771129
33,0.10671312877765068,19.21981879963594,26.607497867629203,-1.1255541206175668,1.0,0.4324272232925566,0.4978097899685072,26.36765151048444,30.155520579966577,-2.109047749484395,1.0,0.628092222522815,0.7349488207249784
34,0.10881089476438668,23.59797901546254,29.45905160880738,-1.6055632365138806,1.0,0.42868354246557766,0.4966344628761486,29.656619119889957,32.705873230017325,-2.6571706846721153,1.0,0.6355618349884478,0.6910862160238563
35,0.09450158904760311,23.22628058826222,29.369642250972507,-1.5897712677202391,1.0,0.40638995680089307,0.4585734538686009,29.261829054232724,32.46500509286439,-2.603501294603391,1.0,0.630274104192305,0.7012914152563299
36,0.11237519301283054,19.23044483801898,26.61350335360089,-1.1265137317833527,1.0,0.4222496654131817,0.4847832480281989,26.476637018095587,30.3019852492939,-2.139322239329934,1.0,0.6267889584554043,0.7004016817702918
37,0.10190854531068068,18.56466043696684,25.85942317064513,-1.0077136035212977,1.0,0.4324194959682012,0.5059587244755273,25.64872325695667,29.56228673378536,-1.9879256176618334,1.0,0.626851500235238,0.7042344630349852
