epoch,train_loss,val_loss
1,0.8979040155672047,0.8936828970909119
2,0.7712244303667382,0.7949772123247385
3,0.6754109028675784,0.737888852134347
4,0.5904946270054334,0.7057037353515625
5,0.5096453289463095,0.6431539170444012
6,0.4350783440144095,0.6224612453952432
7,0.3759106384360627,0.6123133450746536
8,0.3262974851547855,0.5835877386853099
9,0.2748414748539663,0.5867420388385653
10,0.23680640287595253,0.5849604466930032
11,0.2113689271962806,0.576180275529623
12,0.18827584814535428,0.5759307825937867
13,0.16601467316281304,0.5639274856075644
14,0.1480958868481525,0.5486317528411746
15,0.1402022997810416,0.5509000672027469
16,0.12641951804087587,0.5406070584431291
17,0.11943827424045295,0.5618089800700545
18,0.11211858378493622,0.5325748370960355
19,0.10704472566610329,0.5569871384650469
20,0.1021478709905115,0.5329675013199449
21,0.09693604105547683,0.5441199289634824
22,0.0947195626540135,0.5354614201933146
23,0.08674523323672274,0.5320844911038876
24,0.08540178766499644,0.526206792332232
25,0.08292336047512211,0.5369467372074723
26,0.08198046704677686,0.529986216686666
27,0.0801917310446909,0.5284225139766932
28,0.07544341790553642,0.5360007062554359
29,0.0733201827037416,0.5268120868131518
30,0.07056733320326838,0.5410979995504022
31,0.06866706226480333,0.5351440161466599
32,0.0673160078386738,0.5229561030864716
33,0.06698123335021816,0.5180351822637022
34,0.06494671647271065,0.562397429253906
35,0.06254895253438655,0.5231814235448837
36,0.060412593160385955,0.5336649687960744
37,0.06296336763117412,0.5431651948019862
38,0.05992551464332293,0.5528084896504879
39,0.05880255675683283,0.5213255072012544
40,0.058434055544027724,0.5190082052722573
41,0.05817387463550453,0.5212134243920445
42,0.05604311448764311,0.5278024096041918
43,0.05413133638260299,0.5287987357005477
44,0.05435222670537968,0.5188432419672608
45,0.05290983593065853,0.5221523931249976
