target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss
PM2.5,0.9528994560241699,9.918879499833968,5.194784164428711,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.017419565970507953
PM10,0.9638400077819824,21.143785419485187,9.948644638061523,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.017419565970507953
aqi,0.9536433219909668,23.027677385729763,11.787312507629395,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.017419565970507953
Average,0.956794261932373,18.030114101682972,8.976913770039877,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.017419565970507953
