split,target,model_R2,model_RMSE,model_MAE,train_mean_R2,train_mean_RMSE,train_mean_MAE,test_mean_oracle_R2,test_mean_oracle_RMSE,test_mean_oracle_MAE,train_target_mean,test_target_mean,train_target_std,test_target_std,n_train,n_test
time_balanced_purged,PM2.5,0.21246713399887085,39.56130280574061,24.228166580200195,-5.295452510045706e-06,44.57972487544218,30.46089692168559,0.0,44.57960684100298,30.499134755035563,66.48982590632654,66.59241182991975,47.94390776885664,44.57960684100298,15076,6691
time_balanced_purged,PM10,0.5913739204406738,69.49759016730364,36.88093948364258,-0.00028621081960844563,108.73487283809614,79.95921224159662,0.0,108.71931562896017,79.30307132400706,127.30523015732777,125.46594217349465,118.7869793754776,108.71931562896017,15076,6691
time_balanced_purged,AQI,0.29873979091644287,88.05555220108214,55.41261291503906,-2.302382382524115e-06,105.15202864853983,79.77440992112055,0.0,105.15190759865973,79.72123121292793,144.10175388076507,143.9422005471559,113.11886693498393,105.15190759865973,15076,6691
chrono_date,PM2.5,-0.8300217390060425,56.006212162413284,43.47194290161133,-0.13554030956002872,44.11734385314745,35.08941378841315,0.0,41.400737683959775,28.860090983757033,69.39546496022615,54.15345236736952,49.83892337947728,41.400737683959775,16825,5462
chrono_date,PM10,-1.4386284351348877,124.5012471699581,90.68844604492188,-0.024169573326113136,80.68388743218007,53.64557014175907,0.0,79.72616610174676,57.385432617871245,107.20089773555738,119.59557925165093,117.32652540624353,79.72616610174676,16825,5462
chrono_date,AQI,-1.0144009590148926,121.9728533450169,93.82998657226562,-0.013351454361925308,86.51079162665144,66.47306083755414,0.0,85.93898865602218,63.297948601898874,137.33469597603863,127.4045752995315,116.2874374166857,85.93898865602218,16825,5462
