target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss,model_seed,split_seed
PM2.5,0.9303883910179138,12.27317952565452,7.126914024353027,random,t7_multimodal_gru_no_pm_inputs,512,112,624,18059,3187,5312,79,0.029734401032328606,42,42
PM10,0.954386293888092,24.59567823206574,12.788653373718262,random,t7_multimodal_gru_no_pm_inputs,512,112,624,18059,3187,5312,79,0.029734401032328606,42,42
aqi,0.9376899003982544,27.338240516376505,15.509160995483398,random,t7_multimodal_gru_no_pm_inputs,512,112,624,18059,3187,5312,79,0.029734401032328606,42,42
Average,0.9408215284347534,21.40236609136559,11.808242797851562,random,t7_multimodal_gru_no_pm_inputs,512,112,624,18059,3187,5312,79,0.029734401032328606,42,42
