target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss
PM2.5,0.9436953663825989,11.037949729388862,5.258406162261963,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,61,0.02110564637069519
PM10,0.96229487657547,22.362026779771522,10.223464965820312,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,61,0.02110564637069519
aqi,0.95079505443573,24.293811352266882,12.145977973937988,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,61,0.02110564637069519
Average,0.952261765797933,19.231262620475757,9.209283034006754,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,61,0.02110564637069519
