target,R2,RMSE,MAE
PM2.5,0.9474176919188162,10.666848499729987,4.992890707858334
PM10,0.9657003811260674,21.328276299106317,9.677473058957462
aqi,0.9563544785719713,22.880274576034186,11.165383674367595
Average,0.9564908505389517,18.291799791623497,8.611915813727798
