kind,model_indices,num_models,weights,R2,RMSE,MAE,trial
random_weighted,"[1, 2, 5, 7, 8]",5,"[0.22007, 0.294825, 0.037131, 0.165309, 0.282664]",0.9577447681289161,18.060943245270106,8.439479764536753,3201.0
random_weighted,"[0, 1, 2, 5, 7, 8]",6,"[0.011496, 0.19704, 0.290378, 0.077282, 0.155878, 0.267925]",0.9577425237659808,18.05438575391472,8.425468524812713,2158.0
random_weighted,"[1, 2, 5, 7, 8]",5,"[0.171412, 0.368725, 0.041221, 0.13651, 0.282132]",0.9577422944077476,18.05676837898743,8.416839477057396,4490.0
random_weighted,"[1, 2, 4, 5, 7, 8]",6,"[0.196025, 0.320851, 0.037226, 0.042445, 0.158247, 0.245206]",0.9577410605381771,18.059513406551787,8.41291070292022,3152.0
random_weighted,"[1, 2, 5, 7, 8]",5,"[0.164459, 0.303615, 0.063915, 0.15367, 0.314341]",0.9577378915570479,18.055286423677426,8.440646161297321,4113.0
random_weighted,"[1, 2, 3, 5, 7, 8]",6,"[0.196025, 0.320851, 0.037226, 0.042445, 0.158247, 0.245206]",0.9577374081676794,18.059504551651358,8.41814587706879,3152.0
random_weighted,"[1, 2, 5, 7, 8]",5,"[0.205687, 0.338133, 0.005114, 0.147666, 0.3034]",0.9577359411215832,18.064328407409896,8.43117441045076,3910.0
random_weighted,"[2, 8, 1, 7]",4,"[0.367806, 0.284722, 0.185664, 0.161808]",0.9577317160572895,18.065684403075196,8.443208333222648,2731.0
random_weighted,"[1, 2, 4, 7, 8]",5,"[0.205687, 0.338133, 0.005114, 0.147666, 0.3034]",0.9577316209316469,18.065759528829567,8.430285340461715,3910.0
random_weighted,"[2, 8, 1, 7]",4,"[0.36057, 0.268435, 0.201778, 0.169218]",0.9577309708163421,18.067379578679564,8.445612034316982,475.0
random_weighted,"[1, 2, 3, 7, 8]",5,"[0.205687, 0.338133, 0.005114, 0.147666, 0.3034]",0.9577306918555119,18.065863210795687,8.431126014469685,3910.0
random_weighted,"[2, 8, 1, 7]",4,"[0.367156, 0.296373, 0.179559, 0.156912]",0.9577300839955506,18.065268183186262,8.441846402235548,2259.0
random_weighted,"[2, 8, 1, 7]",4,"[0.348253, 0.287744, 0.189304, 0.174699]",0.9577294485144979,18.066968324470988,8.456003647123184,4258.0
random_weighted,"[1, 2, 7, 8]",4,"[0.215308, 0.342731, 0.175345, 0.266616]",0.9577286823877084,18.068986507197838,8.450413942410131,2024.0
random_weighted,"[2, 8, 1, 7]",4,"[0.355687, 0.304972, 0.175906, 0.163436]",0.9577285890103596,18.0655730499152,8.450559244869995,4597.0
random_weighted,"[2, 8, 1, 7]",4,"[0.364104, 0.303872, 0.172902, 0.159123]",0.9577277378609144,18.06539254003116,8.446754775562923,3175.0
random_weighted,"[1, 2, 7, 8]",4,"[0.177459, 0.377027, 0.167528, 0.277986]",0.9577262963560659,18.066778927099925,8.448994220116095,1004.0
random_weighted,"[1, 2, 5, 7, 8]",5,"[0.131815, 0.349622, 0.05052, 0.143869, 0.324174]",0.9577244148215512,18.057156258304843,8.439757761985492,3710.0
random_weighted,"[2, 8, 1, 7]",4,"[0.346969, 0.256824, 0.218116, 0.178091]",0.9577237045541347,18.070507131904662,8.45191282449594,2567.0
