model,target_mode,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
mean_baseline,log1p,37.0907648157227,63.9431553897363,-0.19841329054904033,,,26.947590574866105,44.77640531014401,-0.05988561399035919,,
ridge_alpha_0.1,log1p,37.86805061836779,63.79599157402419,-0.19290339277723545,0.0377870308972537,0.1403515434210494,30.14960680178008,43.150645181739755,0.01568266308374433,0.2514563656305958,0.31991801043884865
ridge_alpha_1,log1p,37.866278173994516,63.79595935217829,-0.19290218776298174,0.03780297803874802,0.14039157239614372,30.14548194592446,43.14890721648057,0.01576195158001159,0.2515035771859115,0.3199874294756833
ridge_alpha_10,log1p,37.84868731649171,63.795658218663334,-0.19289092617260373,0.03796177695795819,0.1408498228811102,30.10451994395287,43.13171270429032,0.016546218078116404,0.25197251724527003,0.32070516430512325
ridge_alpha_100,log1p,37.68610787468038,63.79449961144148,-0.19284759784806593,0.039485600634197086,0.14489352152147963,29.72007243900177,42.97673025846479,0.02360108447901965,0.2563642667646334,0.3264168805083057
hist_gradient_boosting,log1p,29.81401905689331,51.786663416799,0.21394243638514954,0.5304722409256329,0.520824188532158,28.458007981470956,41.97779613903331,0.06846363056340288,0.41145115495932333,0.31370163341344853
random_forest,log1p,30.222791530327925,52.583958244280396,0.1895522170076649,0.49272915999914524,0.524046093470125,32.67246930596532,50.215631371577395,-0.33302533129542633,0.3539499795854442,0.2832203247075205
