epoch,train_loss,val_avg_RMSE,val_avg_R2,test_avg_RMSE,test_avg_R2,val_PM2.5_RMSE,val_PM2.5_R2,test_PM2.5_RMSE,test_PM2.5_R2,test_PM2.5_Spearman,val_PM10_RMSE,val_PM10_R2,test_PM10_RMSE,test_PM10_R2,test_PM10_Spearman,val_AQI_RMSE,val_AQI_R2,test_AQI_RMSE,test_AQI_R2,test_AQI_Spearman
1,0.02950846293953964,70.15746630849543,0.35921233892440796,69.70133843457279,0.36879358688990277,40.872754143194214,0.24078065156936646,39.92333198173015,0.25055378675460815,0.4710944792096098,81.64304870804219,0.4844169020652771,82.04932538951797,0.49109166860580444,0.5976451086521023,87.95659607424989,0.3524394631385803,87.13135793247027,0.36473530530929565,0.5262061271275251
2,0.014315231793789312,52.52787495761004,0.6209136644999186,52.19215767279028,0.6272050142288208,33.107291846925506,0.5018653869628906,32.18979815824806,0.5127818584442139,0.6108529146735051,54.65164672939302,0.7689708471298218,55.112737351354404,0.7703886032104492,0.7214341408921348,69.82468629651157,0.5919047594070435,69.2739375087684,0.5984445810317993,0.6807977188546728
3,0.010187006119090467,45.457218615405736,0.7147233088811239,44.8744787612064,0.7225194374720255,28.91862066374795,0.6199378967285156,27.957948988098067,0.6324659585952759,0.6598069268657125,47.357609357552036,0.8265238404273987,46.98880715709726,0.8330914974212646,0.7486727661256899,60.0954258249172,0.6977081894874573,59.67668013842383,0.7020008563995361,0.7268753594205923
4,0.007799493043127241,40.14952885260531,0.7778870662053426,39.43835026468193,0.7853090365727743,25.535907670697867,0.7036519646644592,24.708238915643097,0.7129414677619934,0.7090602261206113,42.34869954928516,0.8612796068191528,41.653193459693156,0.8688446283340454,0.7787918718298216,52.56397933783291,0.7687296271324158,51.95361841870954,0.7741410136222839,0.764186054277277
5,0.006129543591136827,37.35030368750335,0.8065246343612671,36.53529243849323,0.8131054639816284,24.092497282203205,0.736207127571106,23.47769340038207,0.7408221960067749,0.743756719849974,39.81054989336997,0.8774095773696899,38.66978056197032,0.8869597911834717,0.8042963084149544,48.147863886936875,0.8059571981430054,47.4584033531273,0.8115344047546387,0.7925078825107439
6,0.005093958505337958,34.619058658391374,0.8349379301071167,33.68330497411298,0.8439573645591736,22.036193898963912,0.7793151140213013,21.002791446261526,0.7925846576690674,0.7768872668477738,36.74966949521876,0.8955358862876892,35.79777866057125,0.9031272530555725,0.8138710196584926,45.071312580991446,0.8299627900123596,44.24934481550617,0.8361601829528809,0.8180578004541115
7,0.00441127935951021,34.72190454476072,0.8361562490463257,34.320355046417525,0.8395246267318726,21.58328863701433,0.7882932424545288,21.02114457604793,0.7922219634056091,0.7799681512637651,36.991213193346674,0.894158124923706,36.42260060677899,0.8997160196304321,0.847806533766763,45.59121180392116,0.8260173797607422,45.51731995642565,0.8266358971595764,0.8298294675828423
8,0.003950454568788537,31.742821052830095,0.8621273438135783,31.601282095080375,0.8637933135032654,20.03538434811178,0.8175706267356873,19.488888435745572,0.8214083909988403,0.8103616541476787,34.16266629750505,0.9097257852554321,34.10758018926566,0.9120590090751648,0.8404918182688713,41.030412512873454,0.8590856194496155,41.20737766022988,0.857912540435791,0.8438320696033208
9,0.0036155455713697327,30.9948256405544,0.8666512370109558,29.871752089383946,0.8757879336675009,19.997957506789522,0.8182515501976013,19.00513107884865,0.8301644325256348,0.8214763641932137,32.858323657693646,0.9164875745773315,31.61347600682935,0.9244500994682312,0.8354849511607085,40.128195757180045,0.8652145862579346,38.99664918247384,0.8727492690086365,0.851197429546877
10,0.0032823302389544127,30.854324546750934,0.8676245411237081,30.449636337466973,0.8707126379013062,19.999436942757757,0.8182246685028076,19.449755763699915,0.8221248984336853,0.8287628588762179,32.935867413880075,0.9160929322242737,32.35363488743865,0.9208710193634033,0.8584196977188573,39.627669283614985,0.868556022644043,39.545518361262346,0.8691419959068298,0.8603275613984128
