target,target_mode,model,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
PM2.5,raw,mean_baseline,21.90677865286669,37.00958875523458,-0.0023267867792668984,,,35.128298459226485,44.142261688993024,-0.13740263819189713,,
PM2.5,raw,ridge,35.664696226033776,51.996662361590275,-0.9784804035727512,0.05043971869047997,0.2300224128210109,94.46437195354527,112.38634133091882,-6.372794610973477,-0.3794421140286852,-0.4768349145341456
PM2.5,raw,elasticnet,35.63926993196061,52.02416473653894,-0.9805738956397778,0.04610757683118935,0.21867941795526866,93.13226148761429,110.8521943022096,-6.172881527668956,-0.3794583130837622,-0.47946844476326106
PM2.5,raw,random_forest,28.44159956313916,45.073177333754536,-0.48667885938906474,0.16548894654230506,0.37663131718438997,102.73115412111807,127.23468878630511,-8.449658913015936,-0.36116547367186497,-0.47931604110607356
PM2.5,raw,hist_gradient_boosting,26.309444022131157,43.939956775560645,-0.4128630552145913,0.12030389164433505,0.2929756378419243,99.38005452704917,124.53591173422426,-8.053036645076913,-0.35561786029764925,-0.46421679099134217
PM2.5,log1p,mean_baseline,20.369949814493353,39.110282932001304,-0.11934182999032372,,,30.130108295563996,41.618693797525154,-0.011071714046585024,,
PM2.5,log1p,ridge,26.36717669825274,45.52188309567124,-0.516426120371702,-0.005938245514096408,0.1184047178987624,66.64253792811465,84.96460544624503,-3.2138702508189745,-0.352016432095766,-0.479063128710857
PM2.5,log1p,elasticnet,25.98172351846107,45.161428026464144,-0.4925062222868679,0.018026073715050404,0.1455590447890247,68.58210457356937,87.25811487950742,-3.444436664621059,-0.35362600161696583,-0.4821920491269443
PM2.5,log1p,random_forest,30.58853809500815,47.526359073962006,-0.6529126675850967,0.11313522615421166,0.24639718279957037,117.17170363841628,144.5635417508756,-11.198954980880634,-0.3915859207985428,-0.38574307084948517
PM2.5,log1p,hist_gradient_boosting,28.139429026212984,45.47633758035752,-0.5133932116578719,0.10111751182718923,0.31990067445965825,106.5116400841444,135.69067538787198,-9.747441191336529,-0.36953600272254566,-0.4709889163985211
PM10,raw,mean_baseline,101.45439341680508,139.36769505568859,-1.1042132294344147,,,53.718857496460195,80.62507452535462,-0.022866107798596325,,
