epoch,train_loss,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
1,0.5427322749131501,29.456657622798883,45.78235525954805,-0.5320596601270666,0.19449759707950842,0.44705443246859006,132174779.46418162,9753332100.696665,-5.549960155900277e+16,0.01924737035419568,-0.37750328511240383
2,0.14073102177783603,26.580699735546357,43.246623949048576,-0.3670482245957365,0.20421312503377984,0.4686471630074203,2077632.6847218696,152794756.48215666,-13620741229763.695,0.019211258006683288,-0.3627585862412803
3,0.11363173086877032,27.040849162275688,44.31927330139726,-0.43570322789523597,0.1790573787117929,0.3975172906665221,2206348.9960476104,162335047.15892512,-15374762788043.348,0.01921616794200939,-0.3485141487618027
4,0.10296049733130043,25.36557778282764,42.286808327568146,-0.30704105685355576,0.20415215271714707,0.44807937980825013,745814.2489707406,54707301.36114951,-1746121360563.2756,0.019184022950397638,-0.3491647905132925
5,0.09614812291926118,30.770791436268837,47.78532713463404,-0.6690469074928864,0.11894274243179012,0.2675493958487927,382881.11614716164,28051812.05528224,-459098297124.8539,0.0191720762697603,-0.36342540378432564
6,0.09031382467027582,31.911574234869796,48.46870326820451,-0.7171262086302286,0.14858593460431263,0.2950697531401827,65718.40637832978,4779464.478122279,-13327304399.809755,0.019101033851201585,-0.341836859151931
7,0.08172285957552526,31.31779374430984,48.274038735762915,-0.7033609416530531,0.11166999623534563,0.24608244535751808,25426.917694663094,1831234.0321253417,-1956462563.743977,0.019010518408061932,-0.3519264766666487
8,0.07981711193631344,27.38540315907165,44.65716858700437,-0.45767861744801674,0.19630071233837057,0.3802621626735301,11628.19440196085,829433.8354919003,-401372242.9195493,0.018935952475130836,-0.3257597789692465
9,0.07619477245818275,28.13685232178999,45.97049936240023,-0.5446776336217454,0.0886146506830714,0.22153426438460408,10451.01868952713,739795.3513148484,-319305967.7842635,0.018858964936129735,-0.34603245222369355
10,0.07095356090284917,32.7814165632051,49.28819929373796,-0.7756825183874714,0.11165589645036006,0.23771117734595368,6371.157162704733,446692.4966552491,-116412911.74928902,0.018791434764704854,-0.33151025098546083
11,0.06933756818875869,32.490708762883195,49.15278964808652,-0.7659392428378222,0.08663216256295747,0.21485542071177172,5232.127245512955,364394.1960560907,-77468783.70816572,0.01873411644114603,-0.34590842025752666
12,0.06722695980946164,27.437478304188414,45.00452625480344,-0.4804433865412281,0.15705842023042227,0.29967013863511255,4003.5773203441922,275655.2782509027,-44331911.4041698,0.018668198958082027,-0.30371007494245533
13,0.06337365245371836,28.129127242977685,45.73620987595974,-0.5289728005166265,0.1411306722055308,0.260889309231118,2913.837080023656,198300.929046934,-22942107.993746202,0.0185729331197151,-0.3203292851579449
14,0.0601865484637456,29.921679620691442,47.40649925917653,-0.6426883885977381,0.07586612558747705,0.17109450424159622,8554.077675400003,600427.403650081,-210331756.88956702,0.018773373863493946,-0.34710837204079087
15,0.0581705359760312,27.817619183057367,45.66860113693948,-0.5244557878710334,0.10717667180285376,0.2424418946359134,10458.370975383512,736886.9212040277,-316800265.1223825,0.01881224794077608,-0.3469149606290866
16,0.05621444092108626,29.646445255373322,47.16505364397756,-0.6259982763092535,0.09214181151345249,0.23080623740550818,2987.016972011369,203192.9375734142,-24088016.547881763,0.018542849817833166,-0.35528086894218625
17,0.05377535951615797,29.634882936095835,46.79706314743315,-0.6007245772152026,0.14833907558547058,0.3112422991599744,3686.4140533259047,252757.3471433509,-37272747.41497484,0.018621492864612562,-0.3346017240340716
18,0.05318423604008701,25.201215626121098,43.64526317197466,-0.39236676541099347,0.1164449247858988,0.2750237510219111,2100.2330902468716,140358.6658072204,-11493763.740739366,0.018456903464279372,-0.31986813252194946
19,0.050484196693812225,27.092750664980958,44.97768871747909,-0.47867824816852145,0.14180559546594163,0.30826370865571256,3145.4503151954027,214415.3162822016,-26822264.118274406,0.01859604533204056,-0.3499531428269378
20,0.05109388058354738,25.514759796113996,43.51915636719917,-0.3843322964057305,0.15603258532096123,0.3259629528378416,861.3750205684258,53726.26993998122,-1684057.6813318047,0.01810468087656338,-0.3192296755148353
21,0.049409699859139115,29.316164157843318,46.80865010057455,-0.6015173541804222,0.1109469972000057,0.2746761513445359,978.9560407406678,61992.71280758778,-2242151.376976051,0.018165612819555182,-0.36291512525722547
22,0.046676149887501926,27.994650909756086,45.67120408352179,-0.5246295698554697,0.14501452435233247,0.31355018104078747,919.1435685859675,57527.83819386361,-1930810.8223822296,0.018078850579160973,-0.35415729492184517
23,0.046632222835677514,26.65510779380575,44.57572951839988,-0.45236687252139673,0.14620600574944959,0.334637576595438,1700.276737564957,112765.97029242676,-7418906.617871644,0.01844399152419714,-0.34697729769526436
24,0.04390127693694555,24.111254379694035,42.18865927828733,-0.3009807290330506,0.17207035926251282,0.35191615429000755,1466.194936594654,95861.64115734697,-5361341.603393402,0.018369282878222933,-0.3314530132038831
25,0.04266781687891501,23.51513697821372,41.6465648085865,-0.26776215989226193,0.1864707301555587,0.3747936826371027,1353.1937619968458,86421.70495853113,-4357419.786804361,0.018167966137824156,-0.3326779403558346
