epoch,train_loss,val_MAE,val_RMSE,val_R2,val_finite_fraction,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_finite_fraction,test_Pearson,test_Spearman,val_pred_model_min,val_pred_model_max,test_pred_model_min,test_pred_model_max,clip_log_low,clip_log_high
1,0.5393043165415924,28.75868759878735,45.341339712854186,-0.5026855555610434,1.0,0.17758472069024467,0.4247287546674492,62.054614602580955,84.318991118384,-3.1479608048533425,1.0,-0.2003751196158313,-0.39226930804734667,2.306579351425171,4.784423828125,2.506556987762451,26.668249130249023,3.2325814719243127,5.617490705455899
2,0.1288495318469817,25.75146272025603,42.49700852676331,-0.32006748963231635,1.0,0.20877071387848284,0.46791907174855824,70.29128958532026,92.05987026717979,-3.9445247826354866,1.0,-0.19646044888284572,-0.3625728877143407,2.4797778129577637,4.943504810333252,2.660118341445923,22.819557189941406,3.2325814719243127,5.617490705455899
3,0.10673590361186334,28.64325556021556,45.949743068956884,-0.5432830634290211,1.0,0.1431355652154822,0.35156119406504666,59.034618431986665,82.2022237897409,-2.9423118363990173,1.0,-0.17888684044110628,-0.3686878994092326,2.58970308303833,4.719610214233398,2.4471757411956787,22.12714385986328,3.2325814719243127,5.617490705455899
4,0.0951582652100128,25.404410541992615,42.533339253008734,-0.3223255078953746,1.0,0.18638509373184725,0.4291584798727892,68.63946695250934,90.81804322447262,-3.812027731701906,1.0,-0.187135973697118,-0.3523949312183556,2.8081281185150146,5.038378715515137,2.8415987491607666,21.116249084472656,3.2325814719243127,5.617490705455899
5,0.08692889685660911,31.76218645367793,48.42406923951026,-0.7139651184418843,1.0,0.12797794482920175,0.30349372116807993,57.49390931672467,81.26662493922801,-2.8530823230346867,1.0,-0.17813196553896354,-0.37197535520540126,2.5365970134735107,4.49752950668335,2.4792885780334473,19.8483943939209,3.2325814719243127,5.617490705455899
6,0.08261832825983438,30.134390565054503,47.15478569855681,-0.62529038591487,1.0,0.15164557523139754,0.33119527213832617,56.975485463842546,80.99055764710059,-2.8269485131778755,1.0,-0.1656379624769002,-0.3461870580646849,2.4728477001190186,4.465185165405273,2.480621814727783,19.33734893798828,3.2325814719243127,5.617490705455899
7,0.07436424570398911,30.310103928448306,47.546358220638766,-0.6523952259626924,1.0,0.11812593463976037,0.26195233819902797,55.287268484088365,79.92740035879557,-2.7271357968953662,1.0,-0.16516898362258173,-0.34758596425407823,2.695023775100708,4.417992115020752,2.6534852981567383,18.357345581054688,3.2325814719243127,5.617490705455899
8,0.07215514841618191,26.22137188358794,43.652683695106546,-0.39284026321421517,1.0,0.18763441736328412,0.36915592294391236,53.67502964656024,78.9064417113448,-2.632526234414155,1.0,-0.1452569208953528,-0.3051143044517873,2.7394168376922607,4.689136505126953,2.841799020767212,17.441905975341797,3.2325814719243127,5.617490705455899
9,0.06824289075111387,26.73836231477309,44.898138395589065,-0.47345231012188793,1.0,0.0774345296609815,0.19808358228879436,55.79585330663518,80.40033273030882,-2.7713733945911647,1.0,-0.17171304686328542,-0.35453675506439686,2.8097500801086426,4.595972061157227,2.9168436527252197,17.589126586914062,3.2325814719243127,5.617490705455899
10,0.06385807927482018,31.01617236797214,47.9918537734998,-0.6835052178353118,1.0,0.12193808074463688,0.27372123854872094,53.21338083751906,78.71413351667384,-2.614841662970551,1.0,-0.15866580945029224,-0.34891061526511863,2.7670018672943115,4.454111576080322,2.8066246509552,16.586645126342773,3.2325814719243127,5.617490705455899
11,0.06187358868511789,30.5271597178751,47.71989982562568,-0.6644795435948987,1.0,0.09602265874267504,0.23426922538313963,53.18115674144224,78.6204812044502,-2.606245064816852,1.0,-0.16121588065941925,-0.3539550273728243,2.8685762882232666,4.53568696975708,2.882751226425171,16.638320922851562,3.2325814719243127,5.617490705455899
12,0.058933017529978975,27.615297733718634,45.280585411699676,-0.4986612613039001,1.0,0.1614018295428214,0.3373326340020952,53.137472689959296,78.62555857797099,-2.6067108682351594,1.0,-0.15133922690509122,-0.33010351277751043,2.8964550495147705,4.5492329597473145,2.8193211555480957,16.59846305847168,3.2325814719243127,5.617490705455899
13,0.055442273932084285,26.48504921536456,44.48078054186776,-0.4461862050975518,1.0,0.1463571927865181,0.3073413296147286,53.85879725198176,78.94937237774838,-2.636480010344411,1.0,-0.15673432688065192,-0.33819008545434986,2.8134453296661377,4.615146160125732,2.9573168754577637,15.93198299407959,3.2325814719243127,5.617490705455899
14,0.053321547860287984,29.06621590723508,46.72902517929387,-0.596073393203491,1.0,0.096532586843678,0.22751399477922257,53.934020085546045,79.10309910580963,-2.6506553840143394,1.0,-0.16619080952031556,-0.3599277906281898,2.874614715576172,4.450915336608887,2.951521158218384,16.762876510620117,3.2325814719243127,5.617490705455899
15,0.05144905199444843,26.47470759697916,44.62488280889931,-0.4555716645185497,1.0,0.11686821018987015,0.2683267327479524,58.368460984685754,82.22706959553425,-2.9446953416750987,1.0,-0.17708149536605178,-0.35563782409675326,2.9342925548553467,4.580428600311279,2.9201810359954834,16.7058162689209,3.2325814719243127,5.617490705455899
16,0.049707516547386574,28.37358030784998,46.31067687889037,-0.56762316624114,1.0,0.09868908049309996,0.24736366654251668,54.35063655469846,79.3292936486393,-2.6715632614278797,1.0,-0.16723412113178743,-0.3595685066037591,2.912497043609619,4.441421031951904,3.0002734661102295,16.06985092163086,3.2325814719243127,5.617490705455899
17,0.04740199402572496,29.065148491793565,46.36940965612626,-0.5716019137837323,1.0,0.16254882143561414,0.347154357911944,54.30329289623164,79.21591448676297,-2.6610758041755793,1.0,-0.15601573114189493,-0.34025268971378636,2.8635308742523193,4.542155742645264,2.92942214012146,15.937222480773926,3.2325814719243127,5.617490705455899
18,0.04600563309832101,25.535849496425662,44.017483289767824,-0.4162170920125432,1.0,0.10853116203628317,0.2667868441856141,53.439072998134876,78.73926818628185,-2.617150583948262,1.0,-0.15892006029285138,-0.3398391758450989,2.9325180053710938,4.634998321533203,2.9932327270507812,15.332758903503418,3.2325814719243127,5.617490705455899
19,0.04418051602138984,24.847103108178533,43.0452818748732,-0.3543488008542248,1.0,0.15093957363170984,0.3266941549081841,58.60562626602273,82.33261716012262,-2.954828749226322,1.0,-0.17380212859222122,-0.35549442142934723,2.920870780944824,4.619417190551758,2.9503374099731445,16.08354949951172,3.2325814719243127,5.617490705455899
20,0.04422261548830531,24.774748898423322,42.88529566547457,-0.34430010515687215,1.0,0.1814055301535673,0.36226528063552893,55.71187039200354,80.09656851396518,-2.7429296280769924,1.0,-0.16274128385048361,-0.342441397192208,2.887138605117798,4.647462844848633,3.0979363918304443,14.835859298706055,3.2325814719243127,5.617490705455899
21,0.042668686398425394,29.67029225789979,47.05474984441511,-0.6184018018486352,1.0,0.11745643914914733,0.2703469189822912,53.829940248173,78.64079905196486,-2.608109225501564,1.0,-0.1681338268237792,-0.3777357822943256,2.7948765754699707,4.458974838256836,2.8866829872131348,14.24468994140625,3.2325814719243127,5.617490705455899
22,0.04052706876213359,27.733731516572583,45.2169377389184,-0.4944511009510779,1.0,0.18287963662441986,0.3595972986592738,57.94332905594397,81.58266309155935,-2.88310913464413,1.0,-0.1708521571229822,-0.3623205364498421,2.7754437923431396,4.500000953674316,3.0046627521514893,14.155755996704102,3.2325814719243127,5.617490705455899
23,0.04043677107695307,26.020418628432715,43.838707634784605,-0.4047366089175646,1.0,0.17432577256565718,0.35694135644787045,57.46337944943579,81.38331980428194,-2.8641559402508494,1.0,-0.16774906117798205,-0.3609086168177525,2.9266834259033203,4.719949245452881,3.117276668548584,14.711939811706543,3.2325814719243127,5.617490705455899
24,0.037815325174253726,23.2093221404965,41.01645729645924,-0.22969018972665234,1.0,0.1942388447049469,0.3765060377891478,58.86054491935654,82.55789607065054,-2.9765008019133963,1.0,-0.17073926466766187,-0.34608892441909805,2.973283290863037,4.72969913482666,3.2067413330078125,14.479434967041016,3.2325814719243127,5.617490705455899
25,0.03635098578649148,23.76297421545816,41.88945447212827,-0.28259287952296486,1.0,0.2072078988115589,0.39602339818571264,57.7873594885735,81.73008782679585,-2.8971558341450505,1.0,-0.1696067506443571,-0.3578760395995933,3.017491579055786,4.617064952850342,3.148536205291748,14.469258308410645,3.2325814719243127,5.617490705455899
