cv_fold,feature_group,model,split,n_features,R2,RMSE,MAE
2,yolo_plus_tabular,random_forest,test,49,-3.021960651791697,86.79155765350153,72.24497997424368
2,yolo_plus_tabular,extra_trees,val,49,-0.3220732320242343,46.88124741411931,32.31703964706065
2,yolo_plus_tabular,extra_trees,test,49,-3.2927416873716906,89.66561921408805,75.26730925163133
2,road_plus_tabular,random_forest,val,56,0.24237017547572925,35.48950435537174,24.41954328340539
2,road_plus_tabular,random_forest,test,56,-4.519294509011205,101.67176393435267,80.15336643790191
2,road_plus_tabular,extra_trees,val,56,0.12800294508942112,38.07403561716559,26.389907431028618
2,road_plus_tabular,extra_trees,test,56,-4.089435915746409,97.63227273536285,77.77643759055374
2,yolo_road_tabular_no_calendar,random_forest,val,101,0.3995625869573832,31.594048124904884,21.441291055235624
2,yolo_road_tabular_no_calendar,random_forest,test,101,-2.9866755446831488,86.41000297135221,71.81744132140726
2,yolo_road_tabular_no_calendar,extra_trees,val,101,-0.3590163225412364,47.53174288410866,33.042452750594116
2,yolo_road_tabular_no_calendar,extra_trees,test,101,-3.515625212713265,91.96392924827236,77.01291739794398
2,full,random_forest,val,107,-0.44631547401171856,49.03463186549261,41.02118393309178
2,full,random_forest,test,107,-1.967102405637076,74.54608529100652,65.58766514637597
2,full,extra_trees,val,107,-0.24090904088310894,45.41939836043034,36.056567847767845
2,full,extra_trees,test,107,-1.9608063507047744,74.46695160583349,66.42918266791402
3,mean_baseline,mean_baseline,val,0,-0.01738099195973386,61.93521894656451,36.656734244572725
3,mean_baseline,mean_baseline,test,0,-0.008645396785556647,40.948750862584184,28.321687932791583
3,tabular_core_only,random_forest,val,4,0.1308215264163105,57.246685732385394,34.06349202590736
3,tabular_core_only,random_forest,test,4,0.364041874951874,32.51514259182751,22.349315075270066
3,tabular_core_only,extra_trees,val,4,-0.1299158976013326,65.27079870369681,37.34394292646241
3,tabular_core_only,extra_trees,test,4,0.18456283472503554,36.818547669896624,25.645413988658294
3,calendar_context_only,random_forest,val,6,0.05923175230392441,59.557600601287895,47.36443679713917
3,calendar_context_only,random_forest,test,6,0.282824849233699,34.52900147875043,22.69733101936535
3,calendar_context_only,extra_trees,val,6,0.004939370081489369,61.25205154158677,43.252915161194665
3,calendar_context_only,extra_trees,test,6,0.2535661065328396,35.226303975964875,24.068533534170037
3,tabular_plus_calendar,random_forest,val,10,0.5042369177496397,43.23475070727061,26.735261953335772
3,tabular_plus_calendar,random_forest,test,10,0.46848861975760825,29.725398575673452,18.28700679325901
3,tabular_plus_calendar,extra_trees,val,10,0.3998655004622571,47.5685774891742,30.504383379996003
3,tabular_plus_calendar,extra_trees,test,10,0.26354593933559667,34.990023432818,22.54419831738375
3,yolo_only,random_forest,val,45,0.12529577323363206,57.428368719879295,38.8094616487028
3,yolo_only,random_forest,test,45,0.4404251417225967,30.50004635902962,19.077594516226938
3,yolo_only,extra_trees,val,45,0.11349126650801389,57.81458023299669,35.65232952349627
3,yolo_only,extra_trees,test,45,0.396615506265923,31.6714885335853,20.13646364356396
3,road_only,random_forest,val,52,0.028509147255760592,60.52227233504253,38.90993846744987
3,road_only,random_forest,test,52,-0.2217715353029437,45.06780475228344,33.444224795322256
3,road_only,extra_trees,val,52,0.008296752411396047,61.148630549978805,38.925573206359466
3,road_only,extra_trees,test,52,-0.1748523917697553,44.19397395954936,32.35331550838568
3,yolo_plus_road,random_forest,val,97,0.0449223551985104,60.008836644731154,39.906748966873124
3,yolo_plus_road,random_forest,test,97,0.4308370455617395,30.76023969311654,19.343461121645504
3,yolo_plus_road,extra_trees,val,97,0.09394531122432626,58.448460102995334,36.236431190344994
3,yolo_plus_road,extra_trees,test,97,0.3932396280775412,31.75996441823627,20.269012657608247
3,yolo_plus_tabular,random_forest,val,49,0.1730194492249203,55.839756453838156,36.824106471919976
3,yolo_plus_tabular,random_forest,test,49,0.5275256214224031,28.02596233501956,17.649159848710166
3,yolo_plus_tabular,extra_trees,val,49,0.16163125219990282,56.22292134751154,34.94342675604477
3,yolo_plus_tabular,extra_trees,test,49,-0.06649476280169586,42.10665736327357,28.139561749410603
3,road_plus_tabular,random_forest,val,56,0.1341876957066841,57.1357252228646,33.83441406278098
3,road_plus_tabular,random_forest,test,56,0.4183933040441057,31.09468070941529,21.8713430075677
3,road_plus_tabular,extra_trees,val,56,-0.1381623640025429,65.508548669517,37.81278338386486
3,road_plus_tabular,extra_trees,test,56,0.18886692027782148,36.721250262399444,25.24797828210813
3,yolo_road_tabular_no_calendar,random_forest,val,101,0.1175100789101815,57.68338588291941,37.840037157472466
3,yolo_road_tabular_no_calendar,random_forest,test,101,0.5032225236516911,28.737722793406867,18.28908311191356
3,yolo_road_tabular_no_calendar,extra_trees,val,101,0.14412413987011075,56.806921726216906,35.71028851662514
3,yolo_road_tabular_no_calendar,extra_trees,test,101,-0.025406859019875938,41.28758795099757,27.67513594005948
3,full,random_forest,val,107,0.5002511924088113,43.40819734365857,32.2349688155745
3,full,random_forest,test,107,0.5536219037652766,27.240987101908186,17.048315512747475
3,full,extra_trees,val,107,0.16175781369966336,56.21867743584774,44.198410877357865
3,full,extra_trees,test,107,0.42078111116286054,31.03078489772119,19.27514078716356
4,mean_baseline,mean_baseline,val,0,-0.30726845352294796,23.83494059175029,19.753730327694427
4,mean_baseline,mean_baseline,test,0,-0.006291156739696824,61.59673543657753,38.074629421046765
4,tabular_core_only,random_forest,val,4,-0.9460589329293614,29.081022822373708,24.131166145957163
4,tabular_core_only,random_forest,test,4,0.21519479203557546,54.397232565400685,31.595080712667045
4,tabular_core_only,extra_trees,val,4,-0.3060632665968779,23.823951195359367,19.20279726950959
4,tabular_core_only,extra_trees,test,4,-0.08562457545423796,63.978742608253434,35.75344277510717
4,calendar_context_only,random_forest,val,6,-0.8489744082380806,28.346349225197972,24.23598335809986
4,calendar_context_only,random_forest,test,6,-0.10295043442723628,64.48725123973884,54.449106160876156
4,calendar_context_only,extra_trees,val,6,-0.5202114528639066,25.702992131882272,21.2361189397746
4,calendar_context_only,extra_trees,test,6,-0.0004473602983814384,61.41762082465777,48.45833975315861
4,tabular_plus_calendar,random_forest,val,10,-0.9537789268235453,29.138647774745394,24.14740917896327
4,tabular_plus_calendar,random_forest,test,10,0.4676118416712626,44.80330596598074,30.675796257620703
4,tabular_plus_calendar,extra_trees,val,10,-0.1374369626703975,22.23286095158143,18.091623084701535
4,tabular_plus_calendar,extra_trees,test,10,0.4221668463329854,46.67637234959889,33.36661106205507
4,yolo_only,random_forest,val,45,-3.547293368849685,44.453726180128925,36.25267822685943
4,yolo_only,random_forest,test,45,0.2600495216053641,52.81985384937033,35.551543997384805
4,yolo_only,extra_trees,val,45,-4.537511767180713,49.055647707038666,40.58566182432842
4,yolo_only,extra_trees,test,45,0.127010691626105,57.37204494677731,38.84132723794076
4,road_only,random_forest,val,52,-1.2888327537877244,31.538331453778287,25.401391065489744
4,road_only,random_forest,test,52,0.1077772763635485,58.00060283896209,38.454443483935435
4,road_only,extra_trees,val,52,-1.0638533468986648,29.94822589215526,24.163726095408155
4,road_only,extra_trees,test,52,0.09747981725754862,58.33434541211517,38.36993354722811
4,yolo_plus_road,random_forest,val,97,-3.2484968597531134,42.968415012342845,35.016411125712345
4,yolo_plus_road,random_forest,test,97,0.22133956401425414,54.18385767614101,35.338514307903424
4,yolo_plus_road,extra_trees,val,97,-4.347083639923437,48.2047874184242,39.77971917552528
4,yolo_plus_road,extra_trees,test,97,0.11418038226806193,57.792105167405055,38.74947128660497
4,yolo_plus_tabular,random_forest,val,49,-0.9516558583359809,29.122811755875293,22.018934647205356
4,yolo_plus_tabular,random_forest,test,49,0.12669236800421424,57.38250395953032,36.47501751460103
4,yolo_plus_tabular,extra_trees,val,49,-0.1971152580762976,22.808654483911912,18.307216781188068
4,yolo_plus_tabular,extra_trees,test,49,0.12410019586956489,57.46760290319214,34.89498066753231
4,road_plus_tabular,random_forest,val,56,-0.6272868127420586,26.592779696973796,21.496477204439575
4,road_plus_tabular,random_forest,test,56,0.16407195177749012,56.14102225529736,32.59420994738697
4,road_plus_tabular,extra_trees,val,56,-0.38383741385361314,24.52303496309815,19.1685574830393
4,road_plus_tabular,extra_trees,test,56,-0.11833682037228566,64.93549859308922,36.45813710766117
4,yolo_road_tabular_no_calendar,random_forest,val,101,-1.0229286155396449,29.64981323981981,22.220226628429632
4,yolo_road_tabular_no_calendar,random_forest,test,101,0.1116336092227107,57.87512304979994,36.692618415972774
4,yolo_road_tabular_no_calendar,extra_trees,val,101,-0.1162931237050735,22.025248041947393,17.503767248091503
4,yolo_road_tabular_no_calendar,extra_trees,test,101,0.10685257351803035,58.030651072335225,34.93063444680468
4,full,random_forest,val,107,-0.33742245197429144,24.108266745681806,17.774088778128814
4,full,random_forest,test,107,0.18552711700398128,55.415873379348554,44.224809396361636
4,full,extra_trees,val,107,-0.7881444272592584,27.876162019661802,21.849639850903046
4,full,extra_trees,test,107,-0.14088085585741417,65.58673533694065,56.38757665776576
5,mean_baseline,mean_baseline,val,0,-0.064715073581465,53.75632465683652,33.402832712186
5,mean_baseline,mean_baseline,test,0,-0.16160503677096094,22.467819513836535,18.008042687903117
5,tabular_core_only,random_forest,val,4,-0.2570815902318284,58.41099442438338,34.39695303992913
5,tabular_core_only,random_forest,test,4,-0.42245614253465646,24.862862361071468,19.610137499581878
5,tabular_core_only,extra_trees,val,4,-0.26433298842799124,58.579222292939434,34.21268512425834
5,tabular_core_only,extra_trees,test,4,-0.4167232303240773,24.812709491997577,19.358662095819277
5,calendar_context_only,random_forest,val,6,-0.29442586204927235,59.27225600404528,33.81933053585694
5,calendar_context_only,random_forest,test,6,-0.6309168183743434,26.622423569701674,22.453337956129456
5,calendar_context_only,extra_trees,val,6,-0.30398452052919334,59.490700787102924,34.341383820106245
5,calendar_context_only,extra_trees,test,6,-0.10566782802432528,21.92017513684137,18.445096676943365
5,tabular_plus_calendar,random_forest,val,10,-0.22078989395880622,57.561662606587156,34.20852423221372
5,tabular_plus_calendar,random_forest,test,10,-0.712074980697385,27.276778286071337,22.13495719261459
5,tabular_plus_calendar,extra_trees,val,10,-0.24745568773544524,58.186928208795436,33.70858514252576
5,tabular_plus_calendar,extra_trees,test,10,-0.1045847884325275,21.909436724536146,18.13275924067535
5,yolo_only,random_forest,val,45,-0.39116884334934565,61.447297662818094,37.89569347063022
5,yolo_only,random_forest,test,45,-4.681717070728268,49.69028470153421,37.30480906994428
5,yolo_only,extra_trees,val,45,-0.4071642337032,61.79954261882742,39.364470973675004
5,yolo_only,extra_trees,test,45,-4.346782404351757,48.20342955662564,39.01431552873725
5,road_only,random_forest,val,52,-0.30635855800190304,59.5448306202474,38.16292030604433
5,road_only,random_forest,test,52,-2.897004024329749,41.152584030636255,29.079871123322487
5,road_only,extra_trees,val,52,-0.2753151734921735,58.83308614452673,37.28774181858867
5,road_only,extra_trees,test,52,-2.356830839710142,38.19411148951344,27.85184249736942
5,yolo_plus_road,random_forest,val,97,-0.35686505389217604,60.684977539407164,37.11315900935291
5,yolo_plus_road,random_forest,test,97,-3.9666838852177433,46.45847424345514,35.0831945101604
5,yolo_plus_road,extra_trees,val,97,-0.3814747972133077,61.2328325834119,38.74491250589435
5,yolo_plus_road,extra_trees,test,97,-4.116080795094045,47.15202843975303,38.53641846199518
5,yolo_plus_tabular,random_forest,val,49,-0.2879638084939937,59.124120938493334,35.15938518697202
5,yolo_plus_tabular,random_forest,test,49,-0.19441393866939083,22.782905811040557,17.680115164167233
5,yolo_plus_tabular,extra_trees,val,49,-0.2329099471152798,57.84669420006706,33.71643603521694
5,yolo_plus_tabular,extra_trees,test,49,-0.1643325916283358,22.49418229482733,18.267363536295615
5,road_plus_tabular,random_forest,val,56,-0.23169765127476039,57.81824745336519,34.885028051573755
5,road_plus_tabular,random_forest,test,56,-0.21720128927769133,22.999208221004544,18.213390558060578
5,road_plus_tabular,extra_trees,val,56,-0.23012197403983792,57.78125296401315,33.654615439700834
5,road_plus_tabular,extra_trees,test,56,-0.21480753417287013,22.976581903225213,18.43391593006756
5,yolo_road_tabular_no_calendar,random_forest,val,101,-0.261810483359149,58.52075661842451,34.67010623744815
5,yolo_road_tabular_no_calendar,random_forest,test,101,-0.24339030459765865,23.2453142409887,18.079830606171452
5,yolo_road_tabular_no_calendar,extra_trees,val,101,-0.23047367491131698,57.78951241515993,33.907206292778724
5,yolo_road_tabular_no_calendar,extra_trees,test,101,-0.1539614005440011,22.393775719816812,18.26695497777112
5,full,random_forest,val,107,-0.27626060462690427,58.85488951034104,34.19686125444029
5,full,random_forest,test,107,-0.9434704133054412,29.061675554490705,21.649871612439934
5,full,extra_trees,val,107,-0.22697823210586043,57.70737185399279,33.698689195113374
5,full,extra_trees,test,107,-0.420382564479324,24.84473389774347,20.68716612088693
