target,R2,RMSE,MAE,split_mode,model,image_dim,engineered_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss,model_seed,split_seed
PM2.5,0.9404229521751404,11.354180702877409,5.568509578704834,random,t7_gated_gru_resnet_yolo_road_tabular_no_pm_inputs,4096,112,18059,3187,5312,68,0.02201364081926071,11,42
PM10,0.9606004357337952,22.858985172684285,10.709073066711426,random,t7_gated_gru_resnet_yolo_road_tabular_no_pm_inputs,4096,112,18059,3187,5312,68,0.02201364081926071,11,42
aqi,0.9478412866592407,25.01236632624513,12.525099754333496,random,t7_gated_gru_resnet_yolo_road_tabular_no_pm_inputs,4096,112,18059,3187,5312,68,0.02201364081926071,11,42
Average,0.9496215581893921,19.74184406726894,9.600894133249918,random,t7_gated_gru_resnet_yolo_road_tabular_no_pm_inputs,4096,112,18059,3187,5312,68,0.02201364081926071,11,42
