target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss
PM2.5,0.9573811292648315,9.618443621638416,4.8444600105285645,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,79,0.019075847159211453
PM10,0.966707706451416,20.79820956813914,9.377864837646484,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,79,0.019075847159211453
aqi,0.9543038010597229,23.271875734356104,11.404695510864258,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,79,0.019075847159211453
Average,0.9594642122586569,17.896176308044556,8.54234011967977,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,79,0.019075847159211453
