target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss
PM2.5,-0.8009834289550781,55.560089848598835,40.98255157470703,chrono,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,16825,4271,5462,27,0.42857203676420097
PM10,-0.5938740968704224,100.65327630658626,61.12139129638672,chrono,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,16825,4271,5462,27,0.42857203676420097
aqi,-0.7848892211914062,114.81426492247164,85.43293762207031,chrono,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,16825,4271,5462,27,0.42857203676420097
Average,-0.7265822490056356,90.34254369255224,62.51229349772135,chrono,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,16825,4271,5462,27,0.42857203676420097
