phase,epoch,train_loss,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
head,1,0.297780644195269,34.54676083860726,52.52955129917263,-0.26198766324027045,0.1050749142774614,0.13053480944844345,34.66532990623867,52.99047637109634,-0.24488094529569793,0.11753857216612193,0.1492911339465793
head,2,0.2305326428421179,32.286609315085805,50.93039838299645,-0.18632005888330072,0.14199160467849303,0.16965687532345303,32.2669885703053,51.36389775344699,-0.16962897270075117,0.15864314406951932,0.1889131556668059
head,3,0.21860701470204233,31.921217823076223,49.65940360508278,-0.1278483957833043,0.18515817230179082,0.2154869165071562,31.883847662236082,49.983314885352044,-0.10759830433290296,0.19071632232001476,0.2209744427536401
head,4,0.20551632912712817,31.064283444844502,49.296924841250934,-0.11144348515929736,0.1807263896597504,0.20300642306967623,31.459629456321338,50.18528753111143,-0.11656755870595492,0.17861832208003747,0.21030933513457098
head,5,0.1909829284032254,29.650001721999338,47.74335746662218,-0.04249418366754454,0.27115839203091163,0.2856016078218118,30.038936832795912,48.518531327077035,-0.043632185719946426,0.26475373608655495,0.2877788088825484
finetune,1,0.16930399551832842,27.749404364618762,45.047960711613975,0.0718931067458839,0.3504291054421524,0.37106713164651034,27.95809448962805,45.80018901526623,0.0700347669473893,0.3470053904081686,0.38300419298342375
finetune,2,0.14835886753472347,26.864952538026564,43.867780591419724,0.11988575062605022,0.40202622605301763,0.4141426747761712,27.002050853502386,44.57426684037619,0.11915277751698983,0.40192539595534893,0.4259260006168497
finetune,3,0.13627739112931528,26.313856539280636,42.95132765605536,0.15627500982609488,0.43577810285502167,0.4418658680553996,26.487824316086737,43.70356820762262,0.15322902065850108,0.43452067534428784,0.45141835732285607
