target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss
PM2.5,0.9449408054351807,10.693396297025298,5.044492244720459,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.01633344067690464
PM10,0.9627354741096497,21.060344642362292,9.565325736999512,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.01633344067690464
aqi,0.945988655090332,24.505896034009602,11.87978458404541,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.01633344067690464
Average,0.9512216448783875,18.753212324465732,8.829867521921793,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.01633344067690464
