T,run,best_epoch,val_PM25_R2,val_PM25_RMSE,val_PM10_R2,val_PM10_RMSE,val_AQI_R2,val_AQI_RMSE,val_Avg_R2,val_Avg_RMSE,test_PM25_R2,test_PM25_RMSE,test_PM25_Spearman,test_PM10_R2,test_PM10_RMSE,test_PM10_Spearman,test_AQI_R2,test_AQI_RMSE,test_AQI_Spearman,test_Avg_R2,test_Avg_RMSE,metrics_path
2,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T2_front_sequence_manifest_split_random_tabular_fusion,50,0.8226606249809265,20.03942875518123,0.9145779013633728,33.646016753241014,0.8625632524490356,41.070919572981474,0.8666005929311117,31.58545502713457,0.8083249926567078,20.313340577559416,0.827669586877705,0.9073147177696228,34.25849753448497,0.89091061678465,0.8427130579948425,42.75138201347998,0.8585576870519571,0.852784256140391,32.44107337517479,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T2_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
3,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T3_front_sequence_manifest_split_random_tabular_fusion,47,0.8867214918136597,16.12260667649378,0.9418357014656067,27.53819369196909,0.9040637612342834,33.84727914713474,0.9108736515045166,25.836026505199204,0.8696669936180115,16.716124027125257,0.8821068947694432,0.9348343014717102,28.514932568647804,0.9233330400035715,0.893777072429657,35.21770323422227,0.9058496164489146,0.8994261225064596,26.816253276665112,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T3_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
4,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T4_front_sequence_manifest_split_random_tabular_fusion,48,0.9238766431808472,13.004279972663687,0.9535278081893921,24.438981033285994,0.9340468049049377,27.903782785672625,0.9371504187583923,21.782347930540766,0.9089398384094238,13.870899591185497,0.9148630653253677,0.9470046758651733,26.041278642942537,0.9337127527241712,0.9242721796035767,29.717077166049975,0.9294652671767829,0.9267388979593912,23.209751800059337,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T4_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
5,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T5_front_sequence_manifest_split_random_tabular_fusion,50,0.921829342842102,13.219470281794576,0.9415013194084167,28.06058269654305,0.9276317954063416,29.855069842700082,0.9303208192189535,23.71170760701257,0.9261574149131775,12.366331204562552,0.9306419271490753,0.9518347382545471,24.528347509422005,0.9413172494835871,0.9305824637413025,28.367201485468875,0.941421930281672,0.9361915389696757,21.753960066484478,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T5_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
6,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T6_front_sequence_manifest_split_random_tabular_fusion,42,0.9214711785316467,13.059803661605617,0.9526984691619873,24.826074687211428,0.9341201186180115,28.20410966078902,0.9360965887705485,22.02999600320202,0.9246547818183899,12.470672994530947,0.935388318748475,0.9520334005355835,24.711364800289132,0.943229040744157,0.9374658465385437,27.010054235139112,0.944333777602446,0.9380513429641724,21.397364009986394,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T6_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
7,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T7_front_sequence_manifest_split_random_tabular_fusion,50,0.9278957843780518,12.595939199844205,0.9524606466293335,24.79113556963519,0.93364018201828,28.156634769499156,0.9379988710085551,21.84790317965952,0.9344868659973145,11.80376906896261,0.9416534344624581,0.9602006077766418,22.945285899712193,0.9480203816356593,0.9417437314987183,26.385692580434927,0.9529942039174365,0.9454770684242249,20.378249183036576,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T7_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
8,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T8_front_sequence_manifest_split_random_tabular_fusion,48,0.9397550821304321,11.300312368751037,0.9627156257629395,21.49717729358431,0.9497436881065369,24.100929387956832,0.9507381319999695,18.96613968343073,0.9302322864532471,12.197143495435403,0.9445627158934469,0.9589044451713562,23.063720009227968,0.9476670336625964,0.9451522827148438,25.37081919837976,0.9542272981628043,0.9447630047798157,20.210560901014375,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T8_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
9,traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T9_front_sequence_manifest_split_random_tabular_fusion,50,0.9346566200256348,11.87878614601401,0.9585008025169373,23.061045696439727,0.9440110325813293,25.816076146418073,0.9457228183746338,20.251969329623936,0.9296663403511047,12.310748755137089,0.9491057050132008,0.959498405456543,22.87260649619294,0.9532754141762037,0.9445711374282837,25.52310271053769,0.9572213604542082,0.9445786277453104,20.235485987289238,experiments/traqid_pretraining_v1/reports/paper_cnn_lstm_tabular_fusion/traqid_paper_resnet50_front_rear_concat_gap_traqid_paper_style_T9_front_sequence_manifest_split_random_tabular_fusion/metrics_paper_cnn_lstm_tabular_fusion.json
