feature,importance
num__hour_sin,0.18084786195781957
num__dayofweek_sin,0.1494074273267159
num__image_id,0.07107783768045253
num__processed_frame_key,0.07027646121678648
num__video_offset_sec,0.06684126868474388
num__hour_cos,0.04554442015862636
num__Temperature,0.04553800940292639
num__Temperature_yolo,0.040791708589834615
num__dayofweek_cos,0.040547344034167467
num__month_cos,0.040427217989396615
num__Humidity_yolo,0.03344779395880552
num__month_sin,0.0326913784334799
num__Humidity,0.03197680652177061
cat__Season_Winter,0.021481115824686578
cat__Season_Monsoon,0.01785519284707341
cat__Season_Summer,0.00687975465228978
cat__Day_or_Night_Day,0.005196889171500812
cat__Day_or_Night_Night,0.004163958273328326
num__road_gray_dry_pixel_ratio,0.003907635785068744
num__road_area_ratio,0.003451786237414106
num__road_area_pixels,0.0030777517399420565
num__bus_conf_sum,0.0021878037701986855
num__car_conf_sum,0.0019457618771915365
num__left_half_vehicle_count,0.001914643081967951
num__road_laplacian_std,0.0019127227434199302
num__road_haze_flatness_proxy,0.001690997150728483
num__road_mean_brightness,0.0016808130558639504
num__bus_count,0.001678032648602378
num__car_count,0.001603330958708953
num__total_vehicle_conf_sum,0.0015824050400509223
num__road_mean_saturation,0.0015135513626246204
num__traffic_mix_count_index,0.0014846076161669848
num__road_shadow_ratio,0.0014750168392031818
num__road_brown_pixel_ratio,0.0014587572710892803
num__car_conf_area_ratio,0.0014287929628374585
num__truck_conf_sum,0.0013515390493518797
num__person_conf_sum,0.0013068865097244516
num__car_area_ratio,0.0012814381478694872
num__vehicle_count_share_two_wheeler,0.0012606847222323648
num__max_vehicle_confidence,0.0012503264311134943
num__truck_count,0.001249594656690653
num__person_count,0.0012482390353655273
num__heavy_vehicle_count,0.001231882052426778
num__total_vehicle_count,0.001209356893117833
num__total_vehicle_conf_area_ratio,0.0011910470381884138
num__car_near_count,0.0011886731465133224
num__right_half_vehicle_count,0.0011861574845332438
num__center_lane_vehicle_area_ratio,0.0011832320362698179
num__detections_total_raw,0.0011800703401447451
num__road_edge_density,0.0011736675771391418
num__bottom_half_vehicle_area_ratio,0.0011504480094236878
num__total_vehicle_area_ratio,0.0011466002440021353
num__near_traffic_mix_count_index,0.0011460000040822197
num__car_near_area_ratio,0.0011132875743629631
num__road_contrast_std,0.0010991371295947245
num__vehicle_area_share_two_wheeler,0.0010653308903679818
num__center_lane_vehicle_count,0.0010621306868381602
num__near_vehicle_area_ratio,0.001055442160850956
num__max_vehicle_box_area_ratio,0.0010546878719597975
num__traffic_mix_area_index,0.001038799126815771
num__person_near_count,0.0010169654098333074
num__auto_area_ratio,0.0010072646979971053
num__auto_near_area_ratio,0.000998953030177518
num__auto_conf_sum,0.000994070261567575
num__vehicle_area_share_auto,0.0009935293235418348
num__motorcycle_conf_sum,0.0009783576294899242
num__mean_vehicle_box_area_ratio,0.0009742505859051286
num__vehicle_count_share_heavy,0.0009658939611557634
num__auto_conf_area_ratio,0.0009621149125676985
num__vehicle_area_share_heavy,0.0009423649859746356
num__person_area_ratio,0.0009356914753813853
num__near_vehicle_count,0.0009260996289275988
num__bottom_half_vehicle_count,0.0009043525822884676
num__near_traffic_mix_area_index,0.0008858664520113638
num__motorcycle_count,0.0008843124807498848
num__mean_vehicle_confidence,0.0008715861336819486
num__person_conf_area_ratio,0.0008565583410243043
num__two_wheeler_count,0.000852743604540016
num__vehicle_count_share_auto,0.0007816564663788206
num__auto_count,0.0007471899945282878
num__bus_conf_area_ratio,0.00074509075816457
num__near_two_wheeler_count,0.0007312822440136524
num__motorcycle_area_ratio,0.0007304091530105232
num__two_wheeler_area_ratio,0.000726834053316117
num__motorcycle_near_count,0.0007164434119162432
num__two_wheeler_conf_area_ratio,0.0006833247063051232
num__bus_area_ratio,0.0006801474281231315
num__heavy_vehicle_conf_area_ratio,0.0006782286701369385
num__motorcycle_conf_area_ratio,0.0006721485719011564
num__person_near_area_ratio,0.0006713741865562849
num__near_two_wheeler_area_ratio,0.0006573129956296489
num__motorcycle_near_area_ratio,0.0006404022324665529
num__heavy_vehicle_area_ratio,0.0006059135527903666
num__auto_near_count,0.000540971978988683
num__bicycle_count,0.00040207658889198115
num__truck_area_ratio,0.0003759057387974731
num__truck_conf_area_ratio,0.00036278716750273726
num__truck_near_count,0.0003011126677864906
num__near_heavy_vehicle_count,0.0002901156346918528
num__bicycle_conf_sum,0.0002871761607224897
num__bicycle_near_count,0.00028086278485609076
num__bicycle_near_area_ratio,0.0002146628766149761
num__road_glare_ratio,0.0002138403780581943
num__bicycle_area_ratio,0.00021227622745249137
num__bicycle_conf_area_ratio,0.00017632354463393993
num__near_heavy_vehicle_area_ratio,0.00016598386373104635
num__bus_near_count,0.00016377966409744166
num__truck_near_area_ratio,0.0001310477982094445
num__bus_near_area_ratio,5.0827318448386604e-05
num__lens_id,0.0
num__image_area,0.0
num__image_height,0.0
num__image_width,0.0
