embedding_kind,target,target_mode,model,pca_components,alpha,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
none,PM2.5,raw,mean_baseline,,,21.90533272593774,37.00979074502037,-0.0023377277452298895,,,35.15135170851272,44.14284002115146,-0.13844028093375038,,
none,PM2.5,log1p,mean_baseline,,,20.37031068769231,39.111506794222066,-0.11941188530618008,,,30.145751588694637,41.605886617128164,-0.011344866372009488,,
none,PM10,raw,mean_baseline,,,101.46075163029774,139.37255964998724,-1.1043601260637947,,,53.67013850904753,80.53983673215843,-0.022475611485336833,,
none,PM10,log1p,mean_baseline,,,129.2851545189412,161.0739989003505,-1.8107122948653176,,,49.72545609152774,89.24597563390337,-0.2554769719388097,,
none,aqi,raw,mean_baseline,,,60.93756812268249,104.82648912321365,-0.3089611449157863,,,66.54721931112887,86.48157038120642,-0.014430337594922626,,
none,aqi,log1p,mean_baseline,,,82.02582701014695,122.63145650901401,-0.7913829939990176,,,59.0595205446783,88.22330619061353,-0.05570299219097996,,
front,PM2.5,raw,ridge_pca64,64.0,1.0,29.71566039553077,39.903753391648436,-0.16522102918633919,0.2326624278094443,0.297326883469257,48.31788037708907,56.09760570743317,-0.8385623528475676,0.05494430910202353,0.02160490193555959
front,PM2.5,raw,ridge_pca64,64.0,10.0,29.715185966016655,39.90331616759276,-0.16519549475262063,0.23266118082713766,0.29732723929561,48.317109850008165,56.09671948828364,-0.8385042627999115,0.054939688289236295,0.021601135725620182
front,PM2.5,raw,ridge_pca64,64.0,100.0,29.71043176813843,39.89893974910417,-0.1649399218350316,0.2326487739192367,0.2973102430547941,48.30940095662901,56.08785802488698,-0.8379234605146146,0.054893620952854306,0.021559924928861655
front,PM2.5,raw,ridge_pca64,64.0,1000.0,29.66364733120306,39.85591300217204,-0.16242874990612255,0.23252409134615545,0.2970877897687908,48.23319561211915,56.00041444121519,-0.8321971112200712,0.05443610879457594,0.021283356931274353
front,PM2.5,raw,ridge_pca128,128.0,1.0,31.008477967498912,42.0054968513762,-0.2911986707149721,0.14551304151781724,0.24161525210424514,45.554559574237366,53.502836261351355,-0.6724121817932363,0.050980360441554455,0.04393774059185962
front,PM2.5,raw,ridge_pca128,128.0,10.0,31.007500362605537,42.004273708022275,-0.2911234758858563,0.14553172709521328,0.24162300628977446,45.55429021275531,53.50235247743837,-0.6723819373236715,0.05097679085959301,0.043926208931649675
front,PM2.5,raw,ridge_pca128,128.0,100.0,30.997788723963964,41.99210558210346,-0.29037553878009037,0.14571834259512662,0.2417565240167605,45.55163427155088,53.497565873673146,-0.6720827104216287,0.05094097138671662,0.04385317385131549
front,PM2.5,raw,ridge_pca128,128.0,1000.0,30.903562385769227,41.87405610367012,-0.28313065108222313,0.14753010709552586,0.24293972229766886,45.52499613620212,53.450581143575505,-0.6691469560742414,0.05058146582624082,0.043214255536464935
front,PM2.5,raw,ridge_pca256,256.0,1.0,33.521809391625446,44.79822015366518,-0.4685959886315485,0.10910643783769873,0.21823028542501913,45.85712209198374,54.82743779384147,-0.7562470733456741,-0.016048844284215186,-0.027847020851478405
front,PM2.5,raw,ridge_pca256,256.0,10.0,33.51916889357687,44.795106788141545,-0.46839186814539846,0.10913979911060614,0.21824830115890825,45.856520543461684,54.826076153856185,-0.7561598416003874,-0.01603329692805854,-0.027830227885645268
front,PM2.5,raw,ridge_pca256,256.0,100.0,33.492872846001035,44.76412681109323,-0.4663615117473243,0.10947236858599146,0.2185068424272945,45.85051525344068,54.81252126722297,-0.7552915830423408,-0.015878401696454006,-0.027689473573935225
front,PM2.5,raw,ridge_pca256,256.0,1000.0,33.24382355639325,44.4696167238305,-0.44713014697190023,0.11267984105746641,0.22114440211340505,45.792807879090525,54.68324999713861,-0.7470218959962005,-0.01440340475752649,-0.026591911710547554
front,PM2.5,log1p,ridge_pca64,64.0,1.0,22.76508048897106,36.48995123031977,0.02562219205002736,0.2363415869773869,0.30723223113810866,39.01509064372914,47.87222927497928,-0.33892735810963637,0.06263651066064088,0.017221449349032875
front,PM2.5,log1p,ridge_pca64,64.0,10.0,22.76469892318777,36.48977678721158,0.025631508208660225,0.23633999783798634,0.3072317215729862,39.014366180509946,47.8714629503689,-0.33888449213956595,0.06263314688836696,0.017222628996681557
front,PM2.5,log1p,ridge_pca64,64.0,100.0,22.760850506215004,36.48801796423727,0.025725435907766547,0.23632415124268757,0.30720371043941647,39.007055329210964,47.86373707804842,-0.3384523676420619,0.06259942384257701,0.017196932677017093
front,PM2.5,log1p,ridge_pca64,64.0,1000.0,22.72307428934631,36.47095857084494,0.026636236146032277,0.23616505868218227,0.30695088191347264,38.93498729320737,47.787856187421355,-0.3342118942743626,0.06226408128740525,0.016922570061645596
front,PM2.5,log1p,ridge_pca128,128.0,1.0,23.95461907084839,38.380172857161774,-0.07794020617456376,0.14029891217140303,0.25070386509080594,36.72533194467768,45.98730266516592,-0.2355649684083383,0.04430897754292639,0.03409929317109973
front,PM2.5,log1p,ridge_pca128,128.0,10.0,23.953686869212966,38.379243526056925,-0.07788800467780521,0.14031726881825604,0.25071796511885874,36.7250124341969,45.98685098398204,-0.23554069741723205,0.04430894119048573,0.03409574206987565
