heldout_date,train_rows,test_rows,embedding_kind,target,target_mode,model,pca_components,alpha,model_label,MAE,RMSE,R2,Pearson,Spearman
2024-07-09,24928,1750,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,31.87981104424986,47.109877174291206,-0.03742154248513696,0.04548191936875876,-0.008170490414419796
2024-07-09,24928,1750,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,32.719720537785705,47.1800862079402,-0.04051603745257393,0.09667041092772453,0.09258697376430472
2024-07-09,24928,1750,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,32.670074912424326,47.14710815733287,-0.03906194099832949,0.09614853077234543,0.09136710289567625
2024-07-09,24928,1750,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,33.110004729623085,47.62990813983164,-0.06045148845896242,0.09430223807608203,0.09420984071873527
2024-07-09,24928,1750,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,33.041058951834756,47.57004992522785,-0.05778774844741408,0.09420790128664128,0.09347309848206324
2022-10-22,24956,1722,rear,PM2.5,log1p,ridge,64.0,100.0,rear_log1p_pca64_a100,19.466695836463106,21.803270357743763,-3.72190745176174,0.0969913438287499,0.09339410027202466
2022-10-22,24956,1722,rear,PM2.5,log1p,ridge,64.0,1000.0,rear_log1p_pca64_a1000,19.437391784755558,21.767840505972583,-3.706573921356977,0.09658842614389014,0.09285533759276136
2022-10-22,24956,1722,rear,PM2.5,log1p,ridge,128.0,100.0,rear_log1p_pca128_a100,20.342176487487006,22.84450694450312,-4.18367504812622,0.1191466243541491,0.1273603168452401
2022-10-22,24956,1722,rear,PM2.5,log1p,ridge,128.0,1000.0,rear_log1p_pca128_a1000,20.295987206304574,22.783227417011325,-4.1559023225349945,0.11872948536815292,0.1268521775588306
2022-10-22,24956,1722,rear,PM2.5,log1p,ridge,256.0,100.0,rear_log1p_pca256_a100,22.199996751981917,25.228064744560303,-5.321819103283403,0.09609608095890611,0.09496278853316423
2022-10-22,24956,1722,rear,PM2.5,log1p,ridge,256.0,1000.0,rear_log1p_pca256_a1000,22.085845062843994,25.064972250489596,-5.24034566835229,0.09634007400722389,0.09540737447912251
2022-10-24,25037,1641,rear,PM2.5,log1p,ridge,64.0,100.0,rear_log1p_pca64_a100,79.39457118954115,103.20947630995565,-1.3684819306094513,-0.05315563725861126,-0.0680420343854579
