target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss,model_seed,split_seed
PM2.5,0.9405089616775513,11.345980002054969,5.433279991149902,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.021082822806560077,11,42
PM10,0.9631642699241638,22.102725783498897,10.22130298614502,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.021082822806560077,11,42
aqi,0.950897216796875,24.268579031798634,12.176319122314453,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.021082822806560077,11,42
Average,0.95152348279953,19.239094939117503,9.276967366536459,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,55,0.021082822806560077,11,42
