model,split_col,train_name,eval_name,best_epoch,PM2.5_R2,PM10_R2,Avg_R2,PM2.5_RMSE,PM10_RMSE,Avg_RMSE
numerical_lstm,split_random_forecast,train,test,77,0.8134045600891113,0.9165107607841492,0.8649576604366302,26.203724790019717,43.05379226410041,34.628758527060064
numerical_lstm,split_twofold_forecast,fold1_train,fold1_test,78,0.7478011846542358,0.9014319777488708,0.8246165812015533,30.20545592887308,46.04818722680623,38.12682157783965
numerical_lstm,split_chrono_forecast,train,test,14,0.09813624620437622,0.09613591432571411,0.09713608026504517,48.43554683562089,29.648530138195195,39.04203848690804
