split,target,R2,RMSE,MAE,model,best_epoch,best_val_loss,train_rows,val_rows,test_rows
val,PM2.5,-0.2998002094782586,46.99051195343042,29.487405805888024,split_first_chrono_resnet50_gru_pm25,12,0.9445127621293068,18662,3984,3990
test,PM2.5,-0.35476751967042297,44.00436256182351,35.892596007191266,split_first_chrono_resnet50_gru_pm25,12,0.9445127621293068,18662,3984,3990
