epoch,train_loss,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
1,0.6827192526356772,25.640818887685676,44.83156172869007,0.055245796606293585,0.4513324505247409,0.536684743092084,26.446055327074596,45.593316306068026,0.05505125573493419,0.45029040236699014,0.532609972317832
2,0.21925225811597157,21.511844133277496,38.130270461456796,0.3165749889982987,0.6277784192409466,0.7015717266244579,22.162763669069513,38.92327502472845,0.3113086360531514,0.6259672694411931,0.6994305474529819
3,0.1817609976975106,19.91223326121947,34.55274502709508,0.4388018797155594,0.7080350597415843,0.7432343404603041,20.138396140921067,35.11226578246694,0.4395671318891935,0.7114981192611461,0.7574957828815212
4,0.1641229269435933,19.617056746080696,34.97593675354374,0.4249709217670551,0.7569389557805684,0.7940575853997549,19.75809832976525,35.27716841249864,0.4342906926208976,0.7641792455567866,0.8007351452323063
5,0.14488620744750602,18.338278925801855,32.443658096644164,0.5052216033867307,0.7951878798273057,0.8154674114458237,18.596886770792274,33.015581498225416,0.5044998515566521,0.8014086180677122,0.8224928109457044
6,0.1325745469399073,17.00484154071195,30.076637334822927,0.5747839438587414,0.8112328016597206,0.8304762260430592,17.011093514750762,30.115797836441644,0.5877177538225846,0.8221056882187983,0.8367572738350797
7,0.12086262567476792,15.548480763971567,26.601454768012527,0.667369650257023,0.8349520255632206,0.8415382947251174,15.697197099526724,26.779476425099,0.6740056668387053,0.8412632269289702,0.8450774830445269
8,0.11473936426376642,15.323489399798902,26.898688405538447,0.6598947741720382,0.8561108210504166,0.8484811678471957,15.376374445765851,27.248283777290688,0.662491904390043,0.8580656972085763,0.8570168548958756
9,0.10747971762534814,14.583309665023084,25.16669924148081,0.7022830131064405,0.8606205080956929,0.852575864648999,15.000063081103635,25.990006333658386,0.692943243600956,0.8576566194903551,0.8575530428586228
10,0.10377918417380663,15.340065618116693,27.72175923325316,0.6387626301874834,0.8668661233149524,0.863552797396045,15.33191513871572,27.84348908105755,0.6475859623579263,0.8724588103585764,0.8735708154867722
11,0.0961414506112843,15.398548456799075,27.627179957157026,0.6412233172403866,0.8698705674686592,0.8681926356350347,15.336876486918054,27.61402553412075,0.6533706510501269,0.8772474058352502,0.881972793774718
12,0.09275076927646249,13.836545309867246,23.901761759065415,0.7314588011621185,0.876214091831427,0.8633317685606026,13.68006693885987,23.805714098764568,0.7423866802097085,0.8838433951350653,0.8762947044072351
13,0.08752325340231751,12.733208068403375,22.372659832261167,0.7647192826140125,0.8907719685092172,0.8867187996124036,12.998825506632587,22.718788005912867,0.7653739628617173,0.8921989868586658,0.8927675365292096
14,0.08389462820299856,13.257964592382132,24.311476013443734,0.7221734471065817,0.8772881264384449,0.8901510257799926,13.412524713569855,23.928227150212273,0.7397283095284954,0.888734267496471,0.891867157205028
15,0.07833755197882203,13.15983884425527,24.269223849627632,0.723138306032491,0.8924946280488668,0.8919845150369573,13.089108886249573,23.88662892383784,0.740632465914621,0.9022640493984508,0.8985020685960041
16,0.07478446428648498,13.505700420902436,24.915737993544436,0.7081910502575222,0.8943007058133051,0.8843941241125407,13.743657576750559,25.087870597877913,0.7138897023716666,0.900395207419219,0.8908195566221554
17,0.07029166289351203,14.743760316008066,26.254736190665103,0.6759840311718646,0.9002436074650808,0.9003877172884228,15.056522223844107,26.587402673640803,0.6786652354607371,0.9050661470500021,0.9027645480398143
18,0.06802531014196074,13.231400195613922,24.310834058504685,0.7221881191711654,0.9035273308359371,0.9054595321205264,13.263484064354953,24.394456900748757,0.729486966356911,0.9087933548054392,0.9127258160503657
19,0.06506856935616781,12.619735743386679,23.169584119405688,0.7476591428479885,0.9078432851391653,0.902715305450302,12.774513726732339,23.200333688325298,0.7553223222313015,0.9117067866817197,0.9062028829114085
20,0.06156520499312281,14.11604251703584,25.805195139875284,0.6869848254761013,0.9076600416381999,0.906569944963547,13.904198091911026,25.468101166179274,0.7051514340040357,0.9140710593561886,0.9126705156145359
