Protocol,Input overlap >=11/12,Target overlap >=11/12,Max input overlap,Max target overlap,Max combined overlap,Persistence Avg R2,Ridge Avg R2,ExtraTrees Avg R2,Best numerical model,Best numerical Avg R2,Best numerical Avg RMSE,Interpretation
Random 70/15/15,0.9281,0.9281,11,11,23,0.8198,0.8536,0.9085,extratrees,0.9085,28.5934,High numerical forecasting score under severe input and target-window overlap.
Two-fold random CV,0.7542,0.7542,11,11,23,0.7996,0.8446,0.8912,extratrees,0.8912,30.9155,High two-fold score under severe input and target-window overlap.
Chronological date-wise,0.0,0.0,0,0,0,0.2457,0.2719,0.2921,extratrees,0.2921,34.3864,No direct input/target overlap; much lower future-window generalization.
