T,best_epoch,test_PM25_R2,test_PM25_RMSE,test_PM10_R2,test_PM10_RMSE,test_AQI_R2,test_AQI_RMSE,test_Avg_R2,test_Avg_RMSE
2,50,0.8083249926567078,20.313340577559416,0.9073147177696228,34.25849753448497,0.8427130579948425,42.75138201347998,0.852784256140391,32.44107337517479
3,47,0.8696669936180115,16.716124027125257,0.9348343014717102,28.514932568647804,0.893777072429657,35.21770323422227,0.8994261225064596,26.816253276665112
4,48,0.9089398384094238,13.870899591185497,0.9470046758651732,26.041278642942537,0.9242721796035768,29.717077166049975,0.9267388979593912,23.209751800059337
5,50,0.9261574149131776,12.366331204562552,0.9518347382545472,24.528347509422005,0.9305824637413024,28.367201485468875,0.9361915389696756,21.75396006648448
6,42,0.92465478181839,12.470672994530949,0.9520334005355836,24.711364800289132,0.9374658465385436,27.010054235139112,0.9380513429641724,21.397364009986394
7,50,0.9344868659973145,11.80376906896261,0.9602006077766418,22.945285899712193,0.9417437314987184,26.385692580434927,0.9454770684242249,20.378249183036576
8,48,0.9302322864532472,12.197143495435403,0.9589044451713562,23.063720009227968,0.9451522827148438,25.37081919837976,0.9447630047798156,20.210560901014375
9,50,0.9296663403511048,12.310748755137087,0.959498405456543,22.87260649619294,0.9445711374282836,25.52310271053769,0.9445786277453104,20.23548598728924
