Protocol,Train sequences,Eval sequences,Mean max input overlap,Median max input overlap,Max input overlap,Frac overlap >= 1,Frac overlap >= 5,Frac overlap >= 6,Frac overlap = 0,Interpretation
Random 70/15/15,18591,3983,5.8991,6.0,6,1.0,0.9907,0.9091,0.0,Paper-style random sequence split; severe overlap leakage.
Two-fold random CV,13279,13279,5.6666,6.0,6,0.9999,0.9379,0.7481,0.0001,Paper-style two-fold CV; still heavily overlap-contaminated.
Time-balanced purged,15076,6691,0.0,0.0,0,0.0,0.0,0.0,1.0,No direct frame overlap; same dates and broadly balanced time/target distributions.
Chronological date-wise,16825,5462,0.0,0.0,0,0.0,0.0,0.0,1.0,No direct frame overlap; future/unseen-date stress test.
