experiment_id,dataset,phase,protocol,reportable,architecture,view,sequence_length,target,feature_set,model,n_test,mae,rmse,r2,spearman,status,artifact
mumma_5day_top30_fair,MUMMA_5day,feature_selection,nested_leave_one_date_out,true,tabular,none,1,sPM2,nested_top30_of_192,hist_gradient_boosting_or_pipeline,6873,35.617551,48.866546,0.123371,0.456287,worse_than_all_features,artifacts/runs/mumma_5day_nested_top30_features_v1/metrics_aggregate.csv
mumma_5day_traqid_style_random,MUMMA_5day,transfer_retraining,random_target_decile_rows,false,tabular,none,1,sPM2,weather_time_10,extra_trees_affine_calibration,1375,14.726811,24.198236,0.751010,0.884518,autocorrelation_contaminated,artifacts/runs/mumma_5day_tabular_extratrees_random_calibrated_v1/metrics.json
mumma_5day_traqid_zero_shot,MUMMA_5day,direct_model_transfer,all_rows_evaluation,false,TRAQID_tabular_ExtraTrees,none,1,sPM2,TRAQID_weather_time_features,serialized_extra_trees,6873,40.619151,60.227695,-0.331634,0.195424,failed_domain_transfer,artifacts/runs/mumma_5day_traqid_model_transfer_v1/predictions.csv
mumma_5day_traqid_style_fair,MUMMA_5day,transfer_retraining,nested_leave_one_date_out,true,tabular,none,1,sPM2,weather_time_only,extra_trees,6873,47.775331,61.442403,-0.385890,0.173582,raw_beats_calibration,artifacts/runs/mumma_5day_tabular_extratrees_lodo_calibrated_v1/metrics.json
mumma_5day_resnet_residual_fair,MUMMA_5day,residual_fusion,leave_one_date_out,true,ResNet50-GRU,lens6,7,sPM2,sensor_plus_alphaearth,random_forest,6543,32.820488,47.334658,0.186728,,exploratory_correction_selection,artifacts/runs/mumma_5day_resnet_T7_alphaearth_residual_fair_v1/metrics_aggregate.csv
mumma_5day_cams_tabular_fair,MUMMA_5day,background_local_increment,leave_one_date_out,true,CAMS_plus_tabular,none,1,sPM2,visual_yolo_road_alphaearth_167,extra_trees,6873,27.585498,39.591730,0.424558,,fair_pooled,artifacts/runs/mumma_5day_background_local_increment_v1/metrics_aggregate.csv
mumma_5day_cams_tabular_osm_fair,MUMMA_5day,background_local_increment,leave_one_date_out,true,CAMS_plus_tabular,none,1,sPM2,visual_yolo_road_osm_alphaearth_192,extra_trees,6873,27.522771,39.559666,0.425490,,fair_pooled_small_osm_gain,artifacts/runs/mumma_5day_background_local_increment_osm_alphaearth_v1/metrics_aggregate.csv
mumma_5day_cams_temporal_fair,MUMMA_5day,background_temporal_residual,leave_one_date_out,true,CAMS_plus_ResNet50-GRU,lens6,7,sPM2,sensor_plus_visual,random_forest,6543,26.259270,39.887376,0.422505,,exploratory_correction_selection,artifacts/runs/mumma_5day_resnet_gru_T7_background_increment_alphaearth_residual_fair_v1/metrics_aggregate.csv
mumma_5day_nested_selected_fair,MUMMA_5day,nested_ensemble,whole_date_outer_with_validation_weight,true,CAMS_temporal_plus_tabular,lens6,7,sPM2,temporal_sensor_visual_plus_tabular_visual_road_alphaearth,validation_selected_convex_weight,6543,25.281280,38.665753,0.457337,,current_frozen_candidate_exploratory_architecture,artifacts/runs/mumma_5day_nested_background_ensemble_fair_v1/metrics_aggregate.csv
mumma_5day_nested_equal_diagnostic,MUMMA_5day,nested_ensemble,whole_date_outer_fixed_weight,false,CAMS_temporal_plus_tabular,lens6,7,sPM2,temporal_sensor_visual_plus_tabular_visual_road_alphaearth,fixed_equal_weight,6543,25.275156,38.287583,0.467900,,best_pooled_diagnostic_not_primary,artifacts/runs/mumma_5day_nested_background_ensemble_fair_v1/metrics_aggregate.csv
mumma_5day_nested_osm_selected_fair,MUMMA_5day,nested_ensemble_osm_ablation,whole_date_outer_with_validation_weight,true,CAMS_temporal_plus_tabular,lens6,7,sPM2,temporal_sensor_visual_plus_tabular_visual_road_osm_alphaearth,validation_selected_convex_weight,6543,25.455942,38.780292,0.454117,,slightly_worse_than_no_osm,artifacts/runs/mumma_5day_nested_background_ensemble_osm_fair_v1/metrics_aggregate.csv
