target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss
PM2.5,0.943660318851471,11.041382715184888,5.290828227996826,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,39,0.02140777142575154
PM10,0.9600157737731934,23.027967615064703,10.469137191772461,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,39,0.02140777142575154
aqi,0.9485676288604736,24.83760856677644,12.216940879821777,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,39,0.02140777142575154
Average,0.9507479071617126,19.635652965675344,9.325635433197021,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,39,0.02140777142575154
