epoch,train_loss,val_MAE,val_RMSE,val_R2,val_Pearson,val_Spearman,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
1,0.5922684603161417,39.236626268961494,65.59625273630341,-0.26117847552623275,0.22533281109940875,0.27039345039955615,26.95909963933313,45.897660079845586,-0.11363183178678504,0.3054853429124532,0.3064170592343718
2,0.19667111917701408,37.85931500767031,63.05648623716217,-0.1654080722869804,0.22039242971193573,0.22092314456289272,27.584909501015417,43.73820498674341,-0.01130570467555958,0.28981754286508876,0.21896091705829768
3,0.16540458130798388,39.06762859301689,65.20486634482118,-0.2461734869242882,0.24423608688419418,0.23960568261088128,27.177374638730537,45.32175981193846,-0.08586060069449775,0.3210920969513204,0.2953447465183688
4,0.1489871481376908,37.26211504345266,61.441852658666456,-0.10648898290964781,0.24821580992913456,0.2592376674792119,27.027335969293084,42.630248296739154,0.03928124258511145,0.3347926089442135,0.27946252914552455
5,0.13856094451100046,37.0903640506614,61.04023005343455,-0.09207084415677325,0.2558499382481577,0.25671602627221574,27.76939815973823,42.757869633577926,0.03352046276554954,0.3135765878747759,0.2975312301735293
6,0.12797208484061445,37.57279168693428,61.30180112772917,-0.10145043495104789,0.23779904763173396,0.21739831354774267,27.26519501858708,42.48256559979236,0.045926091478748154,0.3277750828929,0.2863425697557644
7,0.12294017831543132,37.618863181680695,61.612037294690296,-0.11262708611453798,0.2551420723551799,0.23944383203300712,27.28125184246529,43.25022772256867,0.011134232656282772,0.31787218267988854,0.30148090679516953
8,0.11634601202746149,37.7596926727356,62.57685112067556,-0.14774629686639695,0.23487789128236275,0.2353246590778172,26.855224640893283,43.370828064142955,0.005611772941464976,0.31263903177755914,0.295865830019916
9,0.10814418705017542,38.01805072487929,63.48439388224046,-0.1812788929979785,0.21074883608433623,0.21247444560370182,26.800509272943994,43.52661206482197,-0.0015445574287960007,0.3114279948764499,0.28782150531249084
10,0.10297889842913963,37.03127456959496,60.755958432348855,-0.08192272184948068,0.24794272071710186,0.23743305743029772,27.052196862437206,41.99003054100996,0.06792056327298113,0.342900616655894,0.3026873808877897
11,0.09632281674206641,37.7968613622535,62.95961361581844,-0.16183002912565336,0.24357756447642953,0.20933077287950783,26.716597713920578,43.38044542714641,0.005170718283252773,0.32388185068089864,0.2746683118246599
12,0.09048425292648787,37.20798069595272,61.81360880378472,-0.11991919333268597,0.25176265843963525,0.24717753972763148,26.051836207951496,42.33344473134955,0.05261225216731302,0.36027838574585763,0.3245334705623059
13,0.08746035128144154,37.01942307724912,61.24134186238307,-0.09927888226991466,0.24321979868461063,0.2553518454031962,26.68585634428557,42.51651066558365,0.04440080504866306,0.32043624549817007,0.3014797088494727
14,0.08238596321411468,37.322725077470146,61.73710623835425,-0.11714881073024075,0.2335403958312627,0.22854966389122647,26.173631937966125,42.405694806504805,0.04937569785922258,0.33979437211247593,0.30821577603265465
15,0.0779315810147115,36.523497889693985,61.63134760019879,-0.11332462954306188,0.26065509289253674,0.2628898217820324,26.384560202124074,42.508183396388944,0.044775095051973635,0.32934279598359495,0.2894145341299594
16,0.0722910563390502,36.73978307053574,61.32067444468153,-0.102128758355718,0.2547870359274218,0.26868539494199134,26.18687728021978,42.34998247988197,0.05187190510808337,0.3405195830036743,0.32379433023501053
17,0.06831243636282221,36.46064264244504,60.15996851369115,-0.06080043616925268,0.25209660845949355,0.2667236813363401,27.007323386962796,41.805384596855795,0.07609994685114707,0.3329321471533625,0.29853147594964197
18,0.06434539432489732,36.65130549873042,61.00522241255918,-0.09081855985621501,0.25368278842646386,0.2719988216334929,25.91206909808083,41.92415646293247,0.07084276697951175,0.3516685230403061,0.3203431993239905
19,0.06237672012926672,36.446598240962395,60.93106802633856,-0.08816830089062777,0.24737630699740368,0.24369771316957267,26.586568492837202,41.80762147606693,0.07600107403214806,0.3413421656003021,0.3036665057165182
20,0.05953464298382184,36.96659219519705,61.888240740489984,-0.12262514100469302,0.24339631468642642,0.2518269423041359,25.881811656109775,42.49700782547306,0.04527729390117674,0.33822699203106427,0.33673229397676774
