epoch,train_loss,val_avg_RMSE,val_avg_R2,test_avg_RMSE,test_avg_R2,val_PM2.5_RMSE,val_PM2.5_R2,test_PM2.5_RMSE,test_PM2.5_R2,test_PM2.5_Spearman,val_PM10_RMSE,val_PM10_R2,test_PM10_RMSE,test_PM10_R2,test_PM10_Spearman,val_AQI_RMSE,val_AQI_R2,test_AQI_RMSE,test_AQI_R2,test_AQI_Spearman
1,0.03343392305682043,76.71196279969068,0.23708746830622354,76.71196279969068,0.23708746830622354,43.42871848059976,0.13454681634902954,43.42871848059976,0.13454681634902954,0.32318937489222477,91.58243170431216,0.3444221615791321,91.58243170431216,0.3444221615791321,0.5440200686440043,95.12473821416015,0.23229342699050903,95.12473821416015,0.23229342699050903,0.4309275420087362
2,0.01807367015764656,59.919372698208065,0.5119386315345764,59.919372698208065,0.5119386315345764,36.654226886306205,0.38349348306655884,36.654226886306205,0.38349348306655884,0.5531633053254138,65.03619034574135,0.6693944931030273,65.03619034574135,0.6693944931030273,0.6723488142071132,78.06770086257664,0.48292791843414307,78.06770086257664,0.48292791843414307,0.6182764141667253
3,0.012499713143670415,51.61033629420331,0.6313046018282572,51.61033629420331,0.6313046018282572,32.33995863950181,0.5200804471969604,32.33995863950181,0.5200804471969604,0.6034142544852168,53.92155353424894,0.7727391123771667,53.92155353424894,0.7727391123771667,0.7198787143817101,68.56949670885918,0.6010942459106445,68.56949670885918,0.6010942459106445,0.6621027187814524
4,0.009576905189441091,46.60733427650401,0.6955809195836385,46.60733427650401,0.6955809195836385,29.66524865122594,0.596182107925415,29.66524865122594,0.596182107925415,0.6491982181869758,47.49750199023629,0.8236638307571411,47.49750199023629,0.8236638307571411,0.7333857780839994,62.65925218804981,0.6668968200683594,62.65925218804981,0.6668968200683594,0.7054123545663628
5,0.0078281593026526,42.73993478172056,0.7428833444913229,42.73993478172056,0.7428833444913229,27.489976200497267,0.6532325744628906,27.489976200497267,0.6532325744628906,0.6691728635991528,43.921647100084655,0.8492153286933899,43.921647100084655,0.8492153286933899,0.7532790423848497,56.80818104457975,0.726202130317688,56.80818104457975,0.726202130317688,0.7223264873889795
6,0.0065003035410520545,41.03527894546082,0.763369599978129,41.03527894546082,0.763369599978129,26.295713311758988,0.6827077865600586,26.295713311758988,0.6827077865600586,0.708826789108348,42.05749935449236,0.8617430925369263,42.05749935449236,0.8617430925369263,0.7852566673856746,54.75262417013111,0.7456579208374023,54.75262417013111,0.7456579208374023,0.7616509153106695
7,0.0057492338160209985,38.44537046833367,0.7948024471600851,38.44537046833367,0.7948024471600851,24.227803247412105,0.7306495904922485,24.227803247412105,0.7306495904922485,0.7311635750837135,40.179572811181835,0.8738141655921936,40.179572811181835,0.8738141655921936,0.7768835494110747,50.92873534640709,0.779943585395813,50.92873534640709,0.779943585395813,0.7739989007984172
8,0.004973023773889136,36.51494178384996,0.8151681423187256,36.51494178384996,0.8151681423187256,23.002091022475543,0.7572137117385864,23.002091022475543,0.7572137117385864,0.7516159768473201,38.48618296605777,0.884226381778717,38.48618296605777,0.884226381778717,0.796986565491212,48.056551363016574,0.8040643334388733,48.056551363016574,0.8040643334388733,0.7957112640782823
9,0.004435009264712592,35.177841511273286,0.8285407821337382,35.177841511273286,0.8285407821337382,22.170903233637382,0.7744430303573608,22.170903233637382,0.7744430303573608,0.7641790979406227,37.26993063438927,0.8914281725883484,37.26993063438927,0.8914281725883484,0.8176908336153512,46.09269066579321,0.8197511434555054,46.09269066579321,0.8197511434555054,0.8095240436336072
10,0.004020141614937639,34.60688749174662,0.8346640666325887,34.60688749174662,0.8346640666325887,21.63508785207926,0.7852135896682739,21.63508785207926,0.7852135896682739,0.789582097192426,36.494978049747644,0.895896315574646,36.494978049747644,0.895896315574646,0.8254065335666982,45.69059657341295,0.8228822946548462,45.69059657341295,0.8228822946548462,0.8266754218569867
11,0.003711712611446449,33.892211022497605,0.8409823973973592,33.892211022497605,0.8409823973973592,21.334303992759377,0.7911442518234253,21.334303992759377,0.7911442518234253,0.7876590797433568,35.95839236458316,0.898935079574585,35.95839236458316,0.898935079574585,0.8451181937771229,44.38393671015027,0.8328678607940674,44.38393671015027,0.8328678607940674,0.8315676135050802
12,0.003506066691668996,33.50031414586622,0.8459557493527731,33.50031414586622,0.8459557493527731,20.8249188736415,0.8009985685348511,20.8249188736415,0.8009985685348511,0.7950986421865173,36.0060758761629,0.8986668586730957,36.0060758761629,0.8986668586730957,0.844333521996036,43.66994768779426,0.8382018208503723,43.66994768779426,0.8382018208503723,0.8356358788083584
13,0.0031987793519195305,32.63577024237724,0.8541587988535563,32.63577024237724,0.8541587988535563,20.2016922043655,0.8127313852310181,20.2016922043655,0.8127313852310181,0.8073507245681014,35.12868189944205,0.9035452604293823,35.12868189944205,0.9035452604293823,0.8476007152536308,42.576936623324166,0.8461997509002686,42.576936623324166,0.8461997509002686,0.8464673476030231
14,0.0030188575847051946,33.074742292843545,0.85064697265625,33.074742292843545,0.85064697265625,20.354125768281367,0.8098946213722229,20.354125768281367,0.8098946213722229,0.8183310737287303,35.57502491159968,0.9010785818099976,35.57502491159968,0.9010785818099976,0.8598086213528043,43.295076198649596,0.8409677147865295,43.295076198649596,0.8409677147865295,0.855651724594987
15,0.002845485908041024,31.625513011168163,0.8642695744832357,31.625513011168163,0.8642695744832357,19.32140236513563,0.8286962509155273,19.32140236513563,0.8286962509155273,0.8302115881740709,34.59508205147716,0.9064532518386841,34.59508205147716,0.9064532518386841,0.8583072305583376,40.96005461689169,0.8576592206954956,40.96005461689169,0.8576592206954956,0.8614608489105402
16,0.0026970966003767877,31.205037266510725,0.8676506678263346,31.205037266510725,0.8676506678263346,19.11777733943961,0.8322879076004028,19.11777733943961,0.8322879076004028,0.8266382063968124,34.106014350019706,0.9090794920921326,34.106014350019706,0.9090794920921326,0.8642065968504603,40.39132011007285,0.8615846037864685,40.39132011007285,0.8615846037864685,0.8619774731706764
