target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss,model_seed,split_seed
PM2.5,0.9353638887405396,11.826439438808482,6.444662570953369,random,t7_multimodal_gru_bidir_no_pm_inputs,1024,112,1136,18059,3187,5312,76,0.025324499807678737,42,42
PM10,0.9544424414634705,24.580539902421414,11.925741195678711,random,t7_multimodal_gru_bidir_no_pm_inputs,1024,112,1136,18059,3187,5312,76,0.025324499807678737,42,42
aqi,0.9398652911186218,26.856788888007443,14.251901626586914,random,t7_multimodal_gru_bidir_no_pm_inputs,1024,112,1136,18059,3187,5312,76,0.025324499807678737,42,42
Average,0.9432238737742106,21.087922743079115,10.874101797739664,random,t7_multimodal_gru_bidir_no_pm_inputs,1024,112,1136,18059,3187,5312,76,0.025324499807678737,42,42
