epoch,train_loss,val_loss
1,0.28610398379010216,0.24308053576029265
2,0.19321618974208832,0.16651631662478814
3,0.1412084970465848,0.12495533033059193
4,0.10525989112719683,0.0904216726238911
5,0.07963282273898661,0.07033127288405712
6,0.0682305958069546,0.061108590891728036
7,0.060167464362063876,0.054268322025354095
8,0.05500704312408474,0.05328209726856305
9,0.05159851735536481,0.05096473229619173
10,0.048546270690333675,0.04718397586391522
11,0.045850472760872105,0.04519008472561836
12,0.043203316760105144,0.041810597794560284
13,0.040837026555353484,0.03938024405103464
14,0.03884269724744306,0.03935953974723816
15,0.037869154751090935,0.03897403768048836
16,0.03565388191229021,0.03643054285874733
17,0.034549868495111734,0.036100392444775656
18,0.032523638162184766,0.035510274939812146
19,0.032470275818462103,0.036238853891308494
20,0.031337009480511636,0.033924869333322234
21,0.0299196969717741,0.03209255535442095
22,0.029743649721355507,0.03272985351773409
23,0.028153053681615373,0.031987444999126285
24,0.02767407558333706,0.031647793805369966
25,0.026761956460459133,0.030804000794887543
26,0.026454504526836772,0.031121929820913535
27,0.025559488526532347,0.030668892969305698
28,0.02488834392541731,0.029805216651696425
29,0.02478903844218019,0.029844952174104177
30,0.023223391747180844,0.03008925900436365
31,0.022957693562436272,0.02930830017878459
32,0.022688992059146856,0.02862997052188103
33,0.022362156049676344,0.027885681591354884
34,0.02148478336527314,0.028099480729836684
35,0.02165564477548633,0.02913763216481759
36,0.021286915764737298,0.027529799880889747
37,0.020687446129364028,0.027752365200565413
38,0.020164268222493186,0.02655603622014706
39,0.01967478090975906,0.0275981158304673
40,0.019984160759814188,0.027560561895370483
41,0.019613001980936864,0.027859613729211
42,0.019311654945494423,0.027395267182817824
43,0.018828539112189287,0.025985264004423067
44,0.018787084488381803,0.025926771931923352
45,0.01865979891375337,0.02775896992534399
46,0.018358715875467783,0.026094876373043425
47,0.017900601554084832,0.025565897042934712
48,0.017456615396158795,0.02529185967376599
49,0.017207097603191793,0.02582816922893891
50,0.01758321882291159,0.025664866257172365
51,0.0169416595722588,0.02513010226763212
52,0.01673223985962465,0.024735083516973715
53,0.016190510584225118,0.025320136346496068
54,0.016279003910825287,0.02486328794979132
55,0.01631241237980799,0.024160287128045008
56,0.01591407360745148,0.024289715605286453
57,0.015550355361381047,0.023939374117897108
58,0.01576756682037048,0.024213255311434086
59,0.015365796530960311,0.023825487551780846
60,0.015203725677770627,0.02354153525084257
61,0.01468139620576526,0.02414822306197423
62,0.015016968348916148,0.023469944914373066
63,0.014639067975148348,0.02354589018684167
64,0.014337210719224433,0.02338083152874158
65,0.014852636664266318,0.02350982163961117
66,0.014477722294313806,0.023804684527791463
67,0.014290528752329484,0.022710054611357357
68,0.014064549665215989,0.023022964883309145
69,0.014049506182192077,0.023157399577590134
70,0.014135096510741072,0.02287140252211919
71,0.013796080638405303,0.022786365678677194
72,0.014269288996575584,0.0237175001261326
73,0.01369344266000348,0.02403169942016785
74,0.013521510687932161,0.0235263743939308
75,0.013507557626236493,0.023360672048651256
76,0.013345444391311054,0.023809068478070773
77,0.013215082645101446,0.021896519984763402
78,0.013369150158070343,0.02192295206567416
79,0.013119311308042265,0.022580163911558114
80,0.012929982125339374,0.021743409478893645
