epoch,train_loss,val_avg_RMSE,val_avg_R2,test_avg_RMSE,test_avg_R2,val_PM2.5_RMSE,val_PM2.5_R2,test_PM2.5_RMSE,test_PM2.5_R2,test_PM2.5_Spearman,val_PM10_RMSE,val_PM10_R2,test_PM10_RMSE,test_PM10_R2,test_PM10_Spearman,val_AQI_RMSE,val_AQI_R2,test_AQI_RMSE,test_AQI_R2,test_AQI_Spearman
1,0.029907540745865328,92.72789513885107,0.011854807535807291,71.3136093352522,0.2017706831296285,62.97286548275674,-0.16231918334960938,42.608897996504936,0.04024326801300049,0.21830235000316386,95.76015265201649,0.24910855293273926,77.60271356301756,0.39216142892837524,0.546753444157637,119.45066728177997,-0.05122494697570801,93.72921644623409,0.17290735244750977,0.35647942369896735
2,0.013198960632605533,85.20354141843931,0.15332080920537314,65.91337610634692,0.3141583800315857,59.518434890350356,-0.03829681873321533,39.63739917156444,0.16944032907485962,0.2866209946710703,84.65528965402133,0.4131653904914856,69.37292015463419,0.514248251914978,0.5307421697806397,111.43689971094628,0.08509385585784912,88.72980899284214,0.25878655910491943,0.3328693924492657
3,0.008835072787333299,85.45991645909463,0.15287754933039346,67.62664812113842,0.2752748529116313,58.890643655475955,-0.01650869846343994,40.79026929717353,0.1204233169555664,0.28821573191026956,84.64206288007016,0.4133487939834595,69.51114526754864,0.5123106241226196,0.5547189099978656,112.84704284173777,0.06179255247116089,92.57852979869307,0.19309061765670776,0.3110217873298745
4,0.00645565613498992,83.86975547732145,0.17859288056691489,68.06664110351755,0.23893646399180093,58.361581701921,0.0016734600067138672,43.2931927340705,0.009168565273284912,0.2825866240679349,80.88591201018104,0.46426093578338623,65.01074505538489,0.5734158754348755,0.5918744736320685,112.36177271986233,0.06984424591064453,95.89598552109729,0.13422495126724243,0.3170593009830641
5,0.00516375544137181,83.90131505231408,0.17728835344314575,66.9661398121303,0.26601622502009076,58.53523536552044,-0.004276394844055176,42.469626669575575,0.04650712013244629,0.3203659213984171,81.10936446493864,0.46129685640335083,64.9517474144268,0.5741897821426392,0.625916937072559,112.05934532648314,0.0748445987701416,93.47704535238852,0.17735177278518677,0.389104863148154
6,0.004411410171525678,87.61267526711707,0.10984909534454346,69.90253080563683,0.22596208254496256,60.19832538290621,-0.06215357780456543,42.1271211446676,0.0618245005607605,0.3207050694361667,85.8903904967692,0.3959169387817383,71.82476505356631,0.4793056845664978,0.627139290041837,116.74930992167577,-0.0042160749435424805,95.7557062186766,0.1367560625076294,0.36721678819112996
7,0.0038466167243187874,85.00175521332655,0.15741624434789023,70.1801023388637,0.20837587118148804,59.033987826928985,-0.02146327495574951,43.3110654298861,0.00835031270980835,0.2933185898194517,82.39511858360451,0.4440823197364807,70.3323791342757,0.5007190108299255,0.6257663960052258,113.57615922944612,0.04962968826293945,96.89686245242929,0.11605829000473022,0.3584003709129481
8,0.0035386850707962514,86.87451201449147,0.1196857492129008,70.16747530733397,0.21977458397547403,60.380996564264734,-0.06860959529876709,42.330938156333275,0.05272442102432251,0.32244956275949727,84.29119680829665,0.41820240020751953,72.1678206400713,0.47431981563568115,0.631354308209324,115.95134267091305,0.009464442729949951,96.00366712559735,0.13227951526641846,0.36869364579531416
9,0.003104294711591569,88.23032972635275,0.08800401290257771,68.25816913573676,0.2557882070541382,61.740850473470964,-0.11728441715240479,41.68072939770848,0.08160150051116943,0.36009607087205736,84.4086564817999,0.4165797829627991,68.95934745603746,0.5200226902961731,0.644913626077608,118.54148222378738,-0.03528332710266113,94.13443055346434,0.16574043035507202,0.41506109901410754
10,0.0029477407765192217,85.26510117080566,0.14599480231602988,70.19433688539691,0.20849084854125977,59.98666844078774,-0.05469775199890137,43.192180462729596,0.013786852359771729,0.3106354018831887,81.28883687198385,0.4589102268218994,69.81989245775519,0.5079686641693115,0.635322694589725,114.51979819964538,0.03377193212509155,97.57093773570591,0.10371702909469604,0.3503184496505068
