target,R2,RMSE,MAE,split_mode,model,embedding_dim,engineered_dim,input_dim,train_rows,val_rows,test_rows,best_epoch,best_val_loss,model_seed,split_seed
PM2.5,0.9427175521850586,11.133383688746196,5.273867130279541,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.020733096063710175,44,42
PM10,0.962831974029541,22.20219377555438,10.048412322998047,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.020733096063710175,44,42
aqi,0.95107102394104,24.225602609168337,11.993179321289062,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.020733096063710175,44,42
Average,0.9522068500518799,19.18706002448964,9.10515292485555,random,t7_resnet50_yolo_road_tabular_gru_no_pm_inputs,4096,112,4208,18059,3187,5312,76,0.020733096063710175,44,42
